State (Emission order)	H3K27ac	H3K4me3	H3K4me1	H3K36me3	H3K9me3	H3K27me3
1	0.9439497208134844	0.9899604951372022	0.1432763598798688	0.05706094989120365	0.07339466757536323	0.012784012401171952
2	0.9500504951282435	0.8907885761694784	0.9931912029288144	0.08521651601035793	0.19416785705969306	0.02260366217165829
3	0.9231585996419599	0.9217860548815091	0.9912309200373836	0.8335522008635685	0.23747259234165202	0.030148765263267357
4	0.13286736374181973	0.8817328594186653	0.7378674824573883	0.7598138714164606	0.10060278973866564	0.007170823618252225
5	0.1685549514037009	0.9584240749742212	0.8402875783535972	0.054682350403945	0.0950771074629169	0.07719647657005632
6	0.06248287580711328	0.07647387581397436	0.6835910379511831	0.04810886017454915	0.08607280357011628	0.040223559377956554
7	0.018467931888288675	0.3275193943640872	0.7184367580126334	0.04871706239613931	0.11317561588141402	0.6782005473914902
8	8.155761410156358E-4	0.005593376236987835	0.01477777269194588	0.01844095550971713	0.027192855534504946	0.45734356940390436
9	4.886978170764213E-4	0.004264864030613062	0.003826100723095854	0.0033003385518838306	0.0187179495628484	0.02323567392701235
10	0.0018663417743585607	0.030010225267048742	0.01470756402007526	0.02489273522302379	0.44554845866052883	0.05420921215880845
11	0.1135015281443618	0.6199049736448796	0.46570892459121593	0.29525056705349273	0.9379095841801239	0.1503674468678338
12	0.015425341322539988	0.08955189329248006	0.06085154659879723	0.6743941496412094	0.7674102940993781	0.008662008986471464
13	0.0063460464077587375	0.00975933182129805	0.025693728184532465	0.18885657087555982	0.026175860462356683	0.011271045622327218
14	0.013963071807405377	0.013574036518168964	0.03247516301489995	0.8407905804657153	0.018868992377532603	0.006164227341626467
15	0.22786597991950988	0.11537969930536444	0.7681159787940655	0.7732242264229288	0.08953412107067703	0.013389323528171827
