State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	5.09683	5.68171	6.84505	8.45187	10.92637	15.21979	21.05575	29.09628	39.55345	54.84394	70.93784	71.62556	66.09167	55.35170	42.46501	30.62597	22.09697	16.58237	12.39821	9.65377	7.73201
2	4.03534	4.53610	5.17576	6.05483	7.13494	8.22053	9.40299	10.43558	10.34969	7.35608	3.85075	4.14316	5.14103	7.08560	8.72495	9.25861	8.71033	7.59184	6.63783	5.73866	5.02772
3	2.88270	2.89940	2.98291	2.88938	2.73238	2.55869	2.40169	2.26474	2.09438	1.73363	1.59333	1.80043	2.13446	2.60211	3.60755	4.68981	5.57165	6.25976	6.85434	7.06478	7.18837
4	4.80999	4.32226	3.44772	2.68530	2.09106	1.63697	1.46318	1.32863	1.22212	1.21651	1.17166	1.24454	1.29500	1.41833	1.69303	2.54515	4.17650	6.68241	9.23877	11.94088	13.75163
5	5.50967	6.15733	6.89400	7.70127	8.68042	9.54908	9.92662	9.35263	8.06346	7.21015	6.33229	5.38997	5.26719	5.64166	6.95539	9.09173	10.98252	11.74988	11.38155	10.68785	9.86830
6	2.79236	2.91770	2.98309	2.94931	2.79236	2.49481	1.99890	1.42343	0.99182	0.93951	0.83051	0.73133	0.73569	0.78474	0.82398	0.95367	1.08228	1.24795	1.47792	1.61307	1.68501
7	3.50540	3.83296	4.31279	4.78401	5.44199	6.11722	6.84703	7.62281	8.14288	8.49055	8.60548	8.78649	8.69742	8.37561	7.89290	7.18895	6.33846	5.77242	5.06847	4.46795	4.02259
8	1.31805	1.30628	1.28289	1.25701	1.21090	1.15367	1.09445	1.03159	0.98099	0.95545	0.95561	0.95462	0.97917	1.01301	1.04535	1.08351	1.12929	1.16080	1.19083	1.21637	1.22715
9	0.50911	0.48730	0.46216	0.43171	0.39581	0.35545	0.31715	0.28607	0.26763	0.25659	0.24880	0.24903	0.25390	0.25979	0.26930	0.27834	0.28956	0.29895	0.31103	0.32122	0.33170
10	0.90347	0.88854	0.86107	0.81808	0.74045	0.65625	0.55474	0.47472	0.44666	0.41979	0.40366	0.40605	0.40665	0.41382	0.42038	0.43830	0.43830	0.46577	0.47054	0.48487	0.50159
11	1.22636	1.26328	1.30429	1.43554	1.61601	1.83339	1.87031	1.62832	1.25097	1.14023	1.04179	0.88594	0.84902	0.91875	1.06230	1.11152	1.25508	1.35761	1.52988	1.53808	1.52988
12	0.41842	0.39152	0.36761	0.35267	0.33772	0.31381	0.33174	0.31680	0.33772	0.37359	0.35864	0.38255	0.38255	0.35864	0.34669	0.34968	0.35864	0.38255	0.40646	0.43037	0.47819
13	1.00802	0.93945	0.84870	0.76465	0.67958	0.59708	0.52644	0.47178	0.43982	0.41868	0.40424	0.40218	0.41971	0.43466	0.45322	0.47643	0.51871	0.57439	0.64555	0.74145	0.82292
14	0.66595	0.62624	0.59941	0.57687	0.53662	0.52106	0.49154	0.48242	0.48242	0.49745	0.51086	0.51462	0.52589	0.53340	0.54467	0.54789	0.55326	0.56238	0.58653	0.60799	0.66970
15	1.07908	0.99846	0.96332	0.91164	0.93024	0.84962	0.79588	0.66564	0.55401	0.53954	0.54781	0.58502	0.57055	0.60983	0.61396	0.65944	0.72559	0.83722	0.96125	1.15350	1.40363
