State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.23478	4.27844	4.08926	4.08926	3.85642	3.55809	3.35436	3.13607	2.94689	2.78681	2.61945	2.64856	2.94689	3.09969	3.04875	2.95416	2.72860	2.83774	2.80136	2.87412	2.91778
2	1.46693	1.43796	1.40072	1.34692	1.35520	1.33244	1.33865	1.38210	1.44003	1.44210	1.54348	1.54969	1.51865	1.56624	1.60969	1.62831	1.69865	1.68003	1.69659	1.69038	1.71934
3	2.89666	2.86641	2.98742	2.92692	3.00633	3.16515	3.28238	3.35801	3.39205	3.33911	3.24835	3.32776	3.33154	3.19919	3.10843	3.03658	2.95717	2.86263	2.74540	2.66977	2.66221
4	3.72543	3.80793	3.76351	3.80159	3.79524	3.95390	3.97929	3.92217	4.03641	3.85236	3.59850	3.54138	3.42079	3.28117	3.10347	2.93211	2.78614	2.83056	2.86864	2.94480	3.05269
5	1.69228	1.56371	1.43861	1.51158	1.48726	1.60888	1.67143	1.61236	1.56718	1.63321	1.58456	1.58456	1.45251	1.39691	1.38301	1.57413	1.59846	1.61931	1.69575	1.62278	1.61236
6	1.04016	1.04633	1.07224	1.05497	1.05744	1.01548	0.99451	1.01425	1.03029	1.04880	1.12407	1.13641	1.14134	1.20674	1.22031	1.23635	1.26226	1.30421	1.34493	1.40786	1.41033
7	2.16638	2.19890	2.20541	2.20216	2.15336	2.22167	2.14686	2.07855	2.04277	1.95169	1.82158	1.77278	1.81507	1.79230	1.87687	1.82158	1.82808	1.81832	1.79230	1.84435	1.90940
8	1.04278	1.04372	1.04541	1.04936	1.05180	1.05330	1.05687	1.06062	1.05349	1.04748	1.03884	1.03396	1.02626	1.02419	1.01424	1.01292	1.01123	1.00692	1.00466	1.00241	0.99640
9	0.41090	0.41103	0.40966	0.40772	0.40798	0.40714	0.40701	0.40720	0.41252	0.41945	0.42697	0.43189	0.43643	0.44103	0.44557	0.44959	0.45561	0.46352	0.47097	0.47590	0.48329
10	0.62058	0.60976	0.60165	0.60503	0.60841	0.60638	0.62058	0.63207	0.64086	0.65168	0.67196	0.67466	0.69967	0.70779	0.73280	0.76187	0.77268	0.80784	0.81798	0.85245	0.88355
11	0.80330	0.87759	0.87295	0.89152	0.83580	0.80330	0.76151	0.77079	0.73365	0.69650	0.65471	0.67328	0.70579	0.69186	0.67793	0.73829	0.82651	0.80330	0.84044	0.79865	0.81258
12	1.58685	1.56993	1.58008	1.57331	1.55978	1.46843	1.46504	1.44474	1.45489	1.45489	1.41768	1.49888	1.47858	1.47519	1.45489	1.41768	1.42106	1.45828	1.49211	1.44813	1.42106
13	1.80136	1.80019	1.82763	1.83988	1.85214	1.85623	1.90176	1.93270	1.97823	2.05411	2.09497	2.05294	2.08680	2.11715	2.18311	2.24790	2.27476	2.29460	2.34072	2.37399	2.39442
14	4.08060	4.08364	4.09396	4.09275	4.08485	4.08303	4.00102	3.94513	3.86251	3.77989	3.72339	3.65595	3.58974	3.52959	3.42328	3.32304	3.24650	3.13593	3.02537	2.90447	2.80484
15	2.53685	2.58366	2.56025	2.59068	2.62344	2.62578	2.72173	2.77556	2.74748	2.70301	2.64216	2.84577	2.83875	2.74982	2.80130	2.69131	2.62344	2.54387	2.40814	2.41750	2.30516
