State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.8205245130121703	0.1196841439215407	0.018234198016034833	0.0012007977992803671	0.03861269617601411	0.0	0.0	0.0	7.408346130671334E-4	3.5616983632732183E-4	4.1903345388292183E-4	0.0	2.2761317168227505E-4	0.0	0.0
2	0.03668744084031748	0.8069608305807403	0.029424083151467023	0.0028685797145856003	0.04605663960153728	0.06392868611318575	0.0	0.0	0.0	2.491989968344454E-8	0.010204430959463124	0.0	0.0	0.0	0.003869284118803919
3	0.009388658007460617	0.0494112356670104	0.8270125270551482	0.02740107838106561	0.0	7.458219459656297E-4	0.0	0.0	0.0	0.0	0.005283813714396712	0.0013072605513552971	3.86754788899621E-5	0.0	0.0794109291987075
4	7.708191631639089E-4	0.007951374676530914	0.04486547643577366	0.8459283155223742	0.026017412181062943	0.0	0.0	0.0	0.0	0.0	0.001356495502614207	0.0026696511301030107	0.01392605623038968	0.021106635922765356	0.0354077632352223
5	0.019537469248451424	0.07464066816497757	0.0	0.015024871726669765	0.6591087630245176	0.1699935950430835	0.02632561336468687	0.0	0.021884426573573458	0.0023232843331651635	0.004799790450621015	0.0	0.005425214657748202	0.0	9.363034125052665E-4
6	0.0	0.03542841202269116	2.077209680398328E-4	0.0	0.05799441509733954	0.7346602631522832	0.012137067888913411	0.0	0.07794615573350254	0.024258798994138738	0.006479353349151578	2.149511644773569E-4	0.04460222597569729	0.0	0.006070635653765425
7	0.0	0.0	0.0	0.0	0.022051656731618022	0.029965912959330977	0.750144408443198	0.18565345081781343	0.006760215204101004	0.004562917137680586	6.061678141533628E-4	0.0	2.5527089210469295E-4	0.0	0.0
8	0.0	0.0	0.0	0.0	0.0	0.0	0.011802705559781803	0.9597994217382343	0.025584445463204368	0.0025974456720892105	0.0	0.0	2.1598156669023675E-4	0.0	0.0
9	8.678171429237515E-6	0.0	0.0	0.0	4.3556543784159177E-4	0.004365410472434366	1.599926365631403E-4	0.009040632584518466	0.9798137839972673	0.005834258036923834	0.0	0.0	3.4167866302220316E-4	0.0	0.0
10	3.3146650011151604E-5	6.7284140920785E-7	0.0	0.0	4.177479014795988E-4	0.012962281995782107	8.937558725628016E-4	0.008841549790376716	0.05500480142981885	0.9027392371627667	0.012648098692818384	0.004360752021853388	0.002097955641121113	0.0	0.0
11	4.597429252816539E-4	0.021595477087997604	0.0058400843972566015	7.819721103870044E-4	0.006294167566622089	0.023507970964758994	6.075175380225282E-4	5.481857996714281E-5	0.0	0.09185204701642737	0.8321121899953943	0.015517540746413991	1.2030072682865935E-6	0.0	0.0013752680642024615
12	0.0	0.0	0.0011653866566157176	0.0014315370864624829	0.0	5.911024435980593E-4	0.0	0.0	0.0	0.023151017958333693	0.011771184958526306	0.8843481106969983	0.05108518503461755	0.017212307621212366	0.009244167543635457
13	1.5369023764375113E-5	0.0	0.0	0.0013073134791031405	8.75560305241424E-4	0.021975839705995207	4.304292792186822E-6	6.455267832965779E-4	0.0030496403186973465	0.0019460471580969143	0.0	0.009126000006813286	0.9248160031680165	0.025838688372292192	0.010399707385890805
14	0.0	0.0	0.0	0.002010905987977725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003335732005153932	0.027493939941502316	0.9460099208032481	0.02114950126211802
15	0.0	0.004179789080917815	0.050370762497459656	0.012874898292416132	0.0010820775501730147	0.012244591357725947	0.0	0.0	0.0	0.0	0.0	0.006237789074718965	0.04198615351432212	0.08101298743766847	0.7900109511945977
