State (Emission order)	-1000	-900	-800	-700	-600	-500	-400	-300	-200	-100	0	100	200	300	400	500	600	700	800	900	1000
1	1.25642	1.21208	1.16773	1.22686	1.15295	1.06426	1.01992	1.12339	1.13817	1.10861	1.03470	0.99036	1.09383	1.06426	0.99036	0.93123	0.96079	1.03470	1.07904	1.12339	1.24164
2	0.53840	0.53878	0.54123	0.54387	0.55103	0.55404	0.56177	0.57195	0.57760	0.59399	0.61152	0.61397	0.61774	0.62264	0.63338	0.64243	0.65241	0.66014	0.66768	0.67597	0.68897
3	0.74450	0.77073	0.76698	0.77073	0.79946	0.80196	0.79821	0.79696	0.78197	0.77697	0.77073	0.78072	0.79446	0.81195	0.83568	0.84318	0.83693	0.83194	0.82819	0.84568	0.84693
4	0.29005	0.29128	0.29165	0.29214	0.29214	0.29361	0.29336	0.29312	0.29361	0.29275	0.29410	0.29483	0.29557	0.29569	0.29606	0.29630	0.29606	0.29741	0.29863	0.29949	0.30084
5	0.76598	0.76391	0.75844	0.76421	0.76702	0.77116	0.78062	0.79170	0.80929	0.83619	0.84432	0.83738	0.82585	0.81993	0.81254	0.81121	0.80545	0.80175	0.80131	0.80338	0.79939
6	1.39391	1.40162	1.41962	1.41602	1.40214	1.38671	1.35072	1.31267	1.26640	1.18361	1.15019	1.17333	1.20007	1.22526	1.24429	1.24274	1.25817	1.26845	1.26074	1.26794	1.27668
7	3.04441	3.05960	2.97608	2.77110	2.63444	2.53575	2.47501	2.42946	2.30039	2.14096	2.01949	1.99671	1.97393	2.03467	2.00430	1.98912	1.92079	1.90560	1.95875	1.90560	1.96634
8	1.56448	1.57302	1.54310	1.67134	1.71408	1.73546	1.77820	1.69271	1.69271	1.67134	1.62432	1.66706	1.64569	1.52600	1.47471	1.49608	1.51746	1.49608	1.50891	1.53883	1.56875
9	1.57022	1.50320	1.50320	1.54150	1.58299	1.63724	1.65958	1.69469	1.68511	1.70426	1.75852	1.80958	1.70746	1.78405	1.77767	1.79682	1.77448	1.76171	1.74894	1.82235	1.84150
10	1.01558	1.01055	1.05580	1.07591	1.07089	1.13122	1.17144	1.26194	1.32730	1.38260	1.38763	1.27702	1.27702	1.26194	1.28707	1.36249	1.47310	1.48315	1.54348	1.52337	1.57365
11	1.10174	1.08241	1.09208	1.04013	1.04013	1.03409	1.03288	1.05463	1.07879	1.08121	1.08000	1.10295	1.14402	1.16698	1.18510	1.20805	1.23463	1.29624	1.31315	1.29020	1.31073
12	0.71027	0.69133	0.67239	0.65345	0.66292	0.67239	0.71974	0.68186	0.64397	0.57768	0.60609	0.68186	0.59662	0.55874	0.52086	0.53980	0.64397	0.71974	0.68186	0.68186	0.66292
13	1.64269	1.64269	1.65669	1.60535	1.61935	1.63335	1.62402	1.62869	1.58669	1.53069	1.48869	1.48869	1.51202	1.54002	1.55402	1.54002	1.46069	1.47469	1.53535	1.46069	1.46535
14	2.26719	2.25575	2.27750	2.29066	2.30154	2.32729	2.37537	2.47554	2.56483	2.64840	2.68560	2.55968	2.45207	2.38625	2.36393	2.36564	2.38625	2.39598	2.39770	2.43547	2.44062
15	4.44060	4.43419	4.38532	4.34286	4.28919	4.23471	4.13938	4.00559	3.88222	3.77968	3.68915	3.77247	3.84457	3.88943	3.89584	3.85979	3.81733	3.75484	3.68274	3.59382	3.52812
16	2.89675	2.93639	2.89392	2.93356	2.97603	3.00435	3.06098	2.92506	2.84295	2.73535	2.70420	2.82596	2.99019	2.98453	2.98170	2.93639	2.77782	2.72402	2.75800	2.75234	2.72119
17	3.58113	3.69748	3.75566	3.80091	3.76859	3.60052	3.57467	3.52942	3.41953	3.30964	3.36781	3.51002	3.58759	3.61345	3.63931	3.57467	3.60699	3.59406	3.56174	3.47770	3.41306
18	4.59554	4.66979	4.83480	4.95031	4.99981	5.03282	4.95856	4.85131	4.77705	4.54604	4.44703	4.50478	4.43053	4.25727	4.03450	3.96850	3.95200	3.81174	3.72923	3.61373	3.50647
19	1.55220	1.50516	1.59140	1.51300	1.47380	1.40325	1.43461	1.45029	1.70115	1.77170	1.79522	1.78738	1.89713	1.92065	1.78738	1.63059	1.60707	1.58356	1.61491	1.61491	1.56004
20	3.47337	3.46065	3.39703	3.30161	3.18074	3.19347	3.05351	2.93264	2.73544	2.65274	2.59549	2.56368	2.65910	2.69091	2.75452	2.84358	2.88811	2.89448	2.97718	2.93901	2.86267
