State (Emission order)	-1000	-900	-800	-700	-600	-500	-400	-300	-200	-100	0	100	200	300	400	500	600	700	800	900	1000
1	1.74960	1.89323	2.01074	2.07602	2.10214	2.08908	2.03685	1.86712	1.88017	1.68432	1.73655	1.74960	1.68432	1.69738	1.71043	1.59292	1.60598	1.61904	1.76266	1.76266	1.89323
2	0.51437	0.47159	0.42847	0.39551	0.36672	0.34524	0.32860	0.32011	0.31012	0.30146	0.29847	0.29680	0.29780	0.30096	0.30795	0.31311	0.31778	0.32410	0.32843	0.33292	0.33908
3	0.78452	0.72273	0.65984	0.59253	0.52632	0.47005	0.44247	0.43033	0.42150	0.42371	0.40495	0.40054	0.39612	0.38950	0.39392	0.40936	0.42371	0.42812	0.43584	0.44688	0.46233
4	0.22233	0.21897	0.21594	0.21345	0.21096	0.20848	0.20512	0.20306	0.20166	0.20036	0.19906	0.19862	0.19852	0.19992	0.20036	0.20144	0.20274	0.20436	0.20534	0.20728	0.20880
5	0.67791	0.64566	0.61446	0.58234	0.56027	0.53716	0.52397	0.51170	0.50282	0.49251	0.48310	0.47605	0.48441	0.49290	0.49773	0.50360	0.51666	0.52358	0.53873	0.55139	0.56536
6	1.98792	1.95341	1.91253	1.86530	1.80943	1.76265	1.70997	1.67681	1.66955	1.69407	1.70906	1.70497	1.69634	1.70588	1.74267	1.78037	1.80671	1.84804	1.87847	1.91117	1.95023
7	9.56307	10.54218	11.44081	12.45345	13.24478	13.99588	14.51226	14.61956	14.15012	13.52645	13.86176	14.83416	15.31030	15.78644	15.95410	15.93398	15.45113	14.90793	14.09647	13.53986	12.55404
8	10.92710	11.11966	11.38774	11.16119	10.59483	9.39791	8.10282	6.97008	5.48998	3.92303	3.30380	3.31891	3.53413	3.79466	4.14203	4.59512	5.51641	6.76242	8.10659	9.79814	11.28957
9	8.37562	9.05785	9.64422	10.26161	10.96357	11.38644	11.18065	9.78518	7.36355	4.84044	3.66768	3.69869	4.05108	4.48523	5.00958	5.88633	6.85611	7.91610	8.80412	9.19316	9.43843
10	2.06507	1.94961	1.84302	1.69647	1.44333	1.17687	1.01255	0.85267	0.76385	0.76385	0.63951	0.54624	0.50628	0.43522	0.41746	0.43966	0.43522	0.42634	0.49739	0.55957	0.58177
11	2.64000	2.42871	2.18008	1.90583	1.56863	1.31360	1.10338	0.95292	0.91237	0.88996	0.82487	0.78858	0.75764	0.76404	0.78538	0.81740	0.83660	0.87502	0.88356	0.95398	1.05643
12	1.52247	1.79016	1.85708	1.60613	1.57267	1.27152	1.00383	0.80306	0.69432	0.57720	0.53538	0.51865	0.48518	0.47682	0.50191	0.50191	0.43499	0.40990	0.51865	0.56047	0.61066
13	0.38337	0.37100	0.35863	0.36688	0.36276	0.36276	0.36688	0.38749	0.40810	0.42459	0.42871	0.44108	0.43283	0.42459	0.41634	0.39161	0.39986	0.39986	0.42459	0.44108	0.42871
14	0.54604	0.51065	0.48992	0.47576	0.46312	0.44290	0.43582	0.41863	0.40346	0.38375	0.37465	0.36706	0.37465	0.38021	0.39133	0.40195	0.41307	0.42571	0.43835	0.44796	0.46009
15	0.52790	0.53215	0.52720	0.49818	0.50172	0.49818	0.50526	0.52012	0.53710	0.56541	0.57815	0.59088	0.59301	0.59867	0.58664	0.57885	0.57248	0.57390	0.57461	0.57673	0.57956
16	0.87793	0.82541	0.78789	0.74287	0.64032	0.61280	0.54277	0.54527	0.56528	0.57278	0.60780	0.61030	0.63781	0.61530	0.64282	0.65282	0.68534	0.66032	0.66783	0.67533	0.72286
17	2.19831	2.15834	2.16405	2.14121	2.10696	1.98705	1.87285	1.78149	1.59306	1.49029	1.51313	1.67300	1.62732	1.68442	1.73581	1.82717	1.88998	2.18118	2.58659	3.13474	3.56869
18	2.24466	2.04060	2.00416	1.97501	1.97501	1.92399	1.96772	1.96772	1.80010	1.71265	1.69807	1.80010	1.92399	1.89484	1.94586	2.12077	2.16449	2.35398	2.76210	3.17751	3.84799
19	6.71003	7.33325	7.44405	8.13652	8.78744	9.39681	10.73328	13.77322	20.52480	28.19736	25.02585	15.45592	11.20416	9.86077	8.99518	8.62817	8.31656	7.87338	7.89415	7.96340	8.38581
20	16.32950	18.81320	21.92625	25.46637	29.28745	34.17618	38.86263	43.49849	47.03861	49.58975	56.03501	63.39620	65.22808	64.01432	61.78910	58.23775	54.09637	49.10649	43.55469	37.91298	32.38927
