State (Emission order)	H3K27ac	H3K4me3	H3K4me1	H3K36me3	H3K9me3	H3K27me3
1	0.09994200820104865	0.9168637764353786	0.29596253287397745	0.4212505007108398	0.9351084798906117	0.30950907446365
2	0.002014886847656809	0.011707318382285802	0.009014127203989431	0.013121866950287938	0.05456482508826826	0.01245927487435753
3	0.0043627028744464055	0.0526756857518264	0.02341216715927287	0.038931068294754734	0.495712966589883	0.04927354131243444
4	4.897926496228471E-4	0.0038406898385044495	0.002135023046358143	0.001680162413763035	0.009491932996839009	0.007737546473618262
5	0.0013291256282656001	0.008030105285985124	0.008847920190097424	0.008022346928391905	0.016823822988874772	0.09814987243247214
6	0.0013943376620180652	0.010337802465694674	0.02380441816249394	0.02824089039095969	0.04005840234654784	0.5591192450822219
7	0.026219070487124106	0.5002303541905175	0.663524775892957	0.03921209197682688	0.10333234810709875	0.7101597013790234
8	0.17475942482814089	0.9123067164355438	0.9080048675286999	0.05292137364613844	0.08470758594078553	0.04902485423319516
9	0.9561705708957404	0.9781851308259172	0.9672916094040348	0.09130212417431645	0.1318676831997342	0.016489531883640312
10	0.44542255575373885	0.25260339005922605	0.8949121578438531	0.08635741439592891	0.07379777246056886	0.012545755419890205
11	0.02394955089926781	0.07068168216320118	0.4976194409295735	0.039690591311995815	0.060217171341221926	0.05215284269163487
12	0.2974232811794573	0.4297849521025769	0.7917667365787848	0.23699266723668136	0.7617582415023413	0.02629673328910994
13	0.016902091229369372	0.09708185912574606	0.05748951889116849	0.6650611784084893	0.678945463539061	0.010021435999258031
14	0.008286348458738064	0.011758897965884611	0.02184143006550545	0.19610890209022447	0.022611990695779054	0.005202184947200817
15	0.013894759255655397	0.018045742796062365	0.0309729031099194	0.8415649648059772	0.022146503889347805	0.007944301565771661
16	0.1472096384980297	0.1252564634691568	0.5990379851071093	0.7149383052136279	0.0672667364092487	0.011574732881845951
17	0.8855900487787349	0.8495587294737175	0.9778390542824582	0.8172258401940642	0.16225933015065952	0.014947323066124686
18	0.16218087172482124	0.9320017867570344	0.6750491013462632	0.7348312671927102	0.08771807199158274	0.009340344643874727
19	0.0577045441142147	0.7301255387579861	0.15678320915697885	0.036810536230163914	0.050552069781228906	0.018011530047827053
20	0.9341284062717703	0.9950178015758815	0.1305622971286687	0.052906101969541555	0.06623828820795433	0.012341645995471552
