State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0.8597978328102475	0.0	0.11150497872599417	0.005651241601701886	0.0	2.34287081620267E-5	5.922021562390715E-4	4.419275587777916E-4	5.199931079408922E-4	0.0	0.0	7.44884815810242E-4	0.0032723864952966092	0.0	3.7471938559397926E-5	0.0	3.7043584347942656E-4	9.478451334289658E-4	0.015581850872005058	5.135202323569401E-4
2	0.0	0.9767504306980908	0.007670634273366166	0.0035968450079370095	0.0020404963749959637	2.506911112163359E-8	0.0	0.0	0.0	2.8604033647104083E-7	0.007889075054634776	0.0	1.828871689066959E-5	0.0014239994590367947	0.0	0.0	0.0	0.0	6.099193056001365E-4	0.0
3	0.008942430905578556	0.047719633480196005	0.9091331081833219	0.0	0.009268676296107605	0.003545402889914387	1.4505106830171662E-4	0.0	0.0	0.0	0.005131451063162746	0.00748243329546679	0.008250028476119829	0.0	0.0	0.0	0.0	0.0	3.8178434183042023E-4	0.0
4	5.147963508762876E-5	0.002369932622550597	0.0	0.9953737290935786	0.0020669201321981	0.0	0.0	0.0	0.0	0.0	9.65433240866365E-8	0.0	0.0	1.6977024528382366E-6	0.0	0.0	0.0	0.0	1.3614427080859489E-4	0.0
5	0.0	0.0016723238496604079	0.0011844880284499722	0.002566060826244939	0.9600204356979112	0.029908161160648233	4.72599776176458E-4	0.0	0.0	0.0	0.004046329744635189	0.0	0.0	7.439297405226797E-6	0.0	0.0	0.0	0.0	1.2216161886827517E-4	0.0
6	1.5142432533571074E-8	5.6777552449000396E-8	0.0014237555555325072	0.0	0.09027921467660317	0.9019217496802783	0.005457784999407211	0.0	0.0	0.0	8.627449159236681E-4	0.0	0.0	4.1260082642177466E-5	1.3418169627835523E-5	0.0	0.0	0.0	0.0	0.0
7	3.318791434687097E-4	0.0	0.001041544767250379	0.0	0.021990417028402168	0.08423447610118988	0.8383342498606984	0.011141953118068365	0.0	0.0	0.031024282000508788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011859279042388099	4.191893802515438E-5
8	1.3438285115139682E-4	0.0	0.0	0.0	0.0	0.0	0.006662233228582891	0.7704679055278874	0.052408972604362336	0.004474501093453752	0.11036998558784678	0.003460025776971462	0.0	0.0	0.0	7.82935500618745E-4	4.660239670060153E-5	0.008770767634287259	0.0349017601869676	0.00751992761116972
9	7.995170382636951E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0396495626341391	0.8426339728812063	0.05192494143102289	0.0	0.005661761323277898	0.0	0.0	0.0	0.0	0.021035113032379597	0.0015375991116842276	0.003105461935434736	0.034371635947028724
10	0.0	1.2003244353419292E-6	0.0	0.0	0.0	0.0	0.0	0.005008525871853021	0.07452660194638104	0.786330038609171	0.0829993214209616	0.01277521952015518	0.0	0.007858247742852686	0.0	0.01600702005798166	0.014493824506208406	0.0	0.0	0.0
11	0.0	0.04923980540637264	0.005198630476447954	1.205702296749063E-6	0.0301810219352434	0.0020174966887997092	0.005204951368873201	0.03001482108886629	0.0	0.020557596976129616	0.8394550209776435	0.0052070786970082154	1.1450024421654962E-5	0.00929080166719528	0.0	0.0028717453290383194	0.0	0.0	7.483736616634815E-4	0.0
12	2.4309453012381796E-4	0.0	0.058904362592826	0.0	0.0	0.0	1.47995967524112E-4	0.006849709203855898	0.016787758504295723	0.02622822964405846	0.04059596570998871	0.8257422414849204	0.01530106429350035	4.909579690603394E-7	0.0	0.0038440829668482663	0.004787484711841389	1.1528427411722617E-5	5.55651387358989E-4	3.396174770882015E-7
13	0.0011242654133751145	4.6401800143267794E-4	0.03213056713090516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.944966275332453E-5	0.007844497523946448	0.8975111399670744	0.04792629742985006	0.007628932071901531	0.0046836979303140755	5.679041237118018E-5	4.690433075130139E-4	9.130114856302913E-5	0.0
14	0.0	0.004292265770835107	0.0	1.4563760518022887E-5	0.0	0.0	0.0	0.0	0.0	9.317409037075101E-4	0.004847165293480908	7.181558248638713E-7	0.006229958079244794	0.9273425572116792	0.04387339048797184	0.011329179643171075	0.0	4.842862260615513E-4	6.541744675050347E-4	0.0
15	0.0	0.0	0.0	0.0	0.0	6.0278723631896213E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0014539550443668915	0.06040003778551087	0.9282587990829273	0.009534937877519427	0.0	2.919914860434197E-4	0.0	0.0
16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.326001016472584E-4	0.0	0.009804747004516012	0.0070710000858907815	0.001095011572168241	0.002634982437992712	0.0541330805668835	0.033707099826207954	0.8558232661583128	0.019984121955039968	0.01541332694655727	7.633447833525729E-7	0.0
17	2.3153940043623217E-4	0.0	0.0	0.0	0.0	0.0	0.0	7.841311386602887E-5	0.041728303150562585	0.019389762037242828	0.0	0.0036976922028837656	1.4725374559260343E-5	0.0	0.0	0.04715941528825698	0.8660141134324907	0.017441663270072613	0.0	0.004244372729628955
18	4.636248000388851E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.016511132035840384	0.003474624883760673	0.0	0.0	3.687333611820838E-6	8.955650405548914E-4	0.007660176498677896	0.0030365527322025964	0.04482264211125643	0.021992236027180305	0.8595857985597982	0.04038021675965551	0.0011737432174225276
19	0.008178110429560315	0.024315526283255454	0.0026186844834096864	0.007750313687139064	0.005953965007897191	0.0	0.012725857725923098	0.060455915152578824	0.0068833732603586625	0.0	0.003985158959635961	5.059200866642853E-4	3.9568975367594544E-5	0.008294141616408698	0.0	5.769603331311999E-4	0.0	0.037712637450688084	0.7792861700184949	0.040717696529487216
20	2.0766492342280871E-4	0.0	0.0	0.0	0.0	0.0	7.775611780040775E-6	0.011163316350445051	0.06619450122888647	0.0	0.0	1.0585751828572387E-6	0.0	0.0	0.0	0.0	0.004767992151621894	7.286316268076336E-4	0.03395581643683123	0.8829732430950221
