State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9105685666423752	0.05467901602483396	0.032169008314143224	6.987236186185218E-4	0.0	0.0	0.0017581178437637518	3.899145001059929E-6	1.2266841126436974E-4	0.0
2	0.01851901090753696	0.9040963814870676	0.017531020571352005	0.042191949720659684	0.016343791799487833	0.0	0.0	0.0013178455138960362	0.0	0.0
3	0.015552519077806042	0.024641785144885565	0.8460013374284409	0.07759716425647997	0.004925580557942185	0.0	0.0071882506055761936	0.005810406336684787	0.004686897789871625	0.013596058802312714
4	1.1811286028417382E-4	0.023279501134981468	0.029962242856825097	0.8381840782972519	0.010311225739851257	0.0010651455885758612	0.0687010940575596	0.0027069860441521756	0.00934377365509092	0.016327839765427156
5	0.0	0.022135419567090954	0.004804498916357443	0.02643331246584964	0.8774779311319711	0.06458873169869134	0.0	0.0045601062200393665	0.0	0.0
6	0.0	0.0	0.0	5.31757065506321E-4	0.012225444862975743	0.9654090658853232	0.020616295629976092	0.0012174365562186262	0.0	0.0
7	7.527508356023482E-5	0.0	6.384706874865256E-4	0.014683938817027734	0.0	0.009200336081279048	0.9562352221638756	0.010490200356191274	0.006280922541455058	0.002395634269124818
8	0.0	0.0011453637910761316	0.003105238080246692	0.004129804367714384	0.002847065117288854	0.0034903942289519242	0.072053163305743	0.9088090487674201	0.0	0.004419922341558962
9	2.1075645508479053E-7	0.0	1.3983914219295747E-4	6.839494147079074E-4	0.0	0.0	0.0020842055628809003	0.0	0.9898846459491372	0.007207149174625977
10	0.0	0.0	0.001085089015552589	0.003309507714253366	0.0	0.0	0.002249410564515965	6.043206603338319E-4	0.020504185513574053	0.9722474865317701
