State (Emission order)	-1000	-900	-800	-700	-600	-500	-400	-300	-200	-100	0	100	200	300	400	500	600	700	800	900	1000
1	16.48279	18.92019	22.06787	25.48314	29.14652	33.57372	38.05443	42.34054	47.10829	51.70090	55.72917	58.44387	58.77469	57.78222	56.23513	53.67125	50.29977	46.32989	41.80052	36.84304	32.03150
2	5.49618	5.82255	6.01963	6.21356	6.53204	6.53677	6.25297	5.50407	4.28059	3.00666	2.40911	2.41227	2.55890	2.71183	2.89157	3.29676	3.80444	4.37992	4.96170	5.48988	5.92819
3	9.79474	10.32771	10.92244	11.40051	11.46456	11.35247	11.20608	11.03681	10.70742	10.37117	10.09439	9.58430	9.28693	9.27549	9.26177	9.36928	9.59802	10.01891	10.61363	11.34332	11.99524
4	2.57757	2.45361	2.25309	2.01156	1.75180	1.51117	1.30337	1.22042	1.30154	1.37719	1.20311	1.00168	0.91965	0.90415	0.91874	0.92967	0.94061	0.94426	0.99074	1.06639	1.15024
5	1.15421	1.12234	1.12917	1.10413	1.01534	0.94021	0.86736	0.87419	0.85598	0.88558	0.92883	0.96526	0.98574	0.98119	1.00168	1.04721	1.06998	1.06315	1.08591	1.11323	1.23389
6	0.52372	0.50806	0.48816	0.47461	0.47037	0.46995	0.46995	0.47503	0.48519	0.49027	0.49789	0.50170	0.50636	0.51695	0.51779	0.52118	0.52203	0.52795	0.53303	0.53685	0.53092
7	0.72649	0.66034	0.60246	0.54919	0.50612	0.47151	0.45112	0.44132	0.43074	0.42113	0.39690	0.38171	0.38497	0.38497	0.39574	0.40420	0.41536	0.42478	0.43363	0.44555	0.46420
8	0.86531	0.81385	0.76781	0.72854	0.61750	0.53625	0.47937	0.45094	0.44687	0.46583	0.46177	0.44823	0.45635	0.45364	0.46312	0.44958	0.46042	0.47937	0.48073	0.47937	0.48750
9	0.32118	0.31010	0.29907	0.28836	0.27932	0.27084	0.26390	0.25796	0.25338	0.24818	0.24601	0.24390	0.24384	0.24657	0.24818	0.25133	0.25517	0.25914	0.26279	0.26700	0.27276
10	1.34848	1.31367	1.26767	1.22312	1.18759	1.15350	1.12518	1.10930	1.10335	1.10750	1.10570	1.10245	1.10552	1.11706	1.13401	1.15169	1.17316	1.19570	1.21789	1.24170	1.25956
