State (Emission order)	-5000	-4500	-4000	-3500	-3000	-2500	-2000	-1500	-1000	-500	0	500	1000	1500	2000	2500	3000	3500	4000	4500	5000
1	1.79853	1.82754	1.86973	1.83545	1.83792	1.76408	1.72717	1.71398	1.95130	2.43386	2.15698	1.98558	1.57686	1.31581	1.17606	1.13387	1.03630	1.04685	1.02575	1.10222	1.06794
2	2.80148	2.96156	3.18222	3.54132	4.06015	5.05950	6.90463	10.34180	16.50448	24.54906	28.30637	26.64295	21.71323	15.09197	10.00652	7.16853	5.47265	4.30241	3.53667	3.04565	2.65845
3	2.82579	2.95719	3.13651	3.35138	3.55820	3.72359	3.74214	3.29388	2.70188	2.10215	1.71882	2.63387	4.92459	7.89543	9.52614	9.66680	9.36075	8.81666	8.13037	7.47500	6.87836
4	1.87968	1.89663	1.81035	1.77799	1.64842	1.47434	1.16622	1.01216	0.81805	0.62702	0.60237	0.60391	0.69942	0.93667	1.57447	2.29085	2.83005	3.23214	3.56953	3.72359	3.75286
5	1.15461	1.09147	1.02648	0.94241	0.85386	0.75437	0.66297	0.56899	0.49668	0.45519	0.45813	0.46657	0.48933	0.53742	0.62956	0.78962	0.95848	1.14313	1.30979	1.47718	1.63283
6	0.79387	0.68771	0.65540	0.56078	0.50304	0.45920	0.38074	0.33459	0.31844	0.29306	0.32306	0.37151	0.35767	0.39690	0.51227	0.69457	0.84918	1.01993	1.13300	1.33607	1.46760
7	0.90028	0.88572	0.85867	0.83319	0.79463	0.77591	0.73430	0.66462	0.52524	0.39731	0.36715	0.37547	0.38587	0.43164	0.46336	0.49872	0.53253	0.55801	0.58557	0.58869	0.61053
8	0.22091	0.21808	0.21486	0.21282	0.21075	0.20656	0.20363	0.19963	0.19680	0.18939	0.18686	0.18754	0.18968	0.19183	0.19485	0.19778	0.20100	0.20334	0.20587	0.20831	0.21211
9	1.35194	1.30762	1.32535	1.40513	1.45819	1.40279	1.46706	1.41387	1.27426	1.04600	0.89309	0.91525	1.06373	1.04600	0.93076	0.87314	0.81552	0.81331	0.82882	0.83547	0.85541
10	1.16940	1.16323	1.15379	1.14447	1.12319	1.06510	0.96031	0.79320	0.57006	0.41433	0.37113	0.38795	0.42655	0.48754	0.56401	0.62415	0.68417	0.72229	0.74722	0.76791	0.77904
11	1.34120	1.34634	1.36544	1.35907	1.37456	1.39119	1.37784	1.32403	1.20328	1.05746	1.01023	1.04534	1.15296	1.25873	1.31685	1.33184	1.31212	1.28933	1.27700	1.25606	1.23778
12	2.14252	2.23102	2.27294	2.50116	2.62901	2.88981	3.54415	4.61997	6.29424	8.01742	8.37137	8.20837	6.89503	5.26965	4.08439	3.26006	2.83392	2.51956	2.23081	2.07014	1.97466
13	2.24778	2.36925	2.46227	2.50713	2.61086	2.91177	3.28272	3.68869	3.47640	1.87006	1.12160	1.05594	1.47066	1.98605	2.15784	2.14034	1.95213	1.85146	1.81316	1.72124	1.74313
14	1.35549	1.35549	1.25236	1.25236	1.23015	1.17490	1.23751	1.56162	1.71631	1.18227	0.71820	0.65190	0.89867	0.95023	0.96128	0.85816	0.96497	0.92445	0.92077	0.94655	0.93918
15	1.09624	1.03047	1.03047	1.04508	1.07422	1.02306	1.07422	1.09614	1.08883	1.30075	1.36652	1.38114	1.38114	1.58575	1.79036	1.88536	1.85613	1.95113	2.03882	2.19228	2.25074
