State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.7340467735667355	0.02139599093474388	0.005563516240406325	0.006640589543388941	0.0	0.0020922728914645823	0.012583843585226148	0.0	0.0	0.0017415511000536596	0.0	0.002391449426426675	0.10106495302938232	0.1118360123929713	6.430472892004503E-4
2	0.015789536627033487	0.7528687869637067	0.08528504824988434	0.0	0.001563188018563904	0.0	3.0977060212407614E-4	0.002335494949793188	0.0	0.009881530490268508	0.0	0.01906323231452884	0.10810927060023595	0.0032969203777048514	0.001497220806156125
3	0.0035338084583824043	0.06049333454470517	0.7843565526457179	0.1326101590749507	0.005064049456125883	0.011310311842944147	0.0	0.0	0.0	0.0	0.0	0.0	3.67852360405899E-4	8.498081373978589E-4	0.001414123479369924
4	0.003456990574894235	0.0	0.12419175229094712	0.6497126961698599	0.1969336924394613	0.010426428177490515	0.0	0.0	0.0	6.777521261816747E-4	0.0	1.5651959996546027E-4	0.013815889738099503	6.241848522270476E-4	4.094030873240805E-6
5	0.0	2.1237123531264084E-4	8.294215473389764E-4	0.05011200446392856	0.9160151491233849	0.013523360090904045	0.0	0.0	0.0	0.0155359827007101	0.0	4.955080566493796E-5	0.0037218420158159128	0.0	3.180169398037192E-7
6	0.0011868980324602784	0.0	0.017163475345203308	0.01701745138900317	0.07890510398405037	0.8111462861928496	0.051795427074258805	0.0	0.0	0.0035241310733250754	0.0	0.0	4.968137652472246E-8	0.01589322260758585	0.003367954619886992
7	0.0024666759028298003	1.3790297682237125E-4	0.0	0.0	0.0	0.01161621267636971	0.8694273108428285	0.02428551234520389	0.006850812084428172	0.0434866564116483	0.0	0.0	0.009342985212506719	0.029473387397275206	0.0029125441500873627
8	0.0	1.1285162269203084E-4	0.0	0.0	0.0	0.0	0.004836212339009593	0.9921793307659504	0.0	0.002247706313951647	0.0	0.0	4.896749248665361E-4	0.0	1.3422403352984007E-4
9	0.0	0.0	0.0	0.0	0.0	0.0	0.023461921730169307	0.0	0.7228752807820285	0.09773999710844349	0.11072564024412433	0.028435373578934893	0.003976743594118897	0.012457829491901155	3.272134702793744E-4
10	4.6093951087386054E-5	5.702490493243326E-4	0.0	4.400052096117746E-5	0.005263094064106206	1.401382725942933E-4	0.010774667916166792	0.002861024270510174	0.006436718145250689	0.916267178552334	0.027630727942840647	0.0016637367273377682	0.027759045213345285	5.433253741412922E-4	0.0
11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011837208942152908	0.04592172514933657	0.9214204032050209	0.0204296325700118	3.9103013347769895E-4	0.0	0.0
12	0.0015964632187324083	0.019314822122671632	0.0	1.367029318026972E-4	3.256668415882206E-4	0.0	0.0	0.0	0.03400630691025622	0.0273675978024078	0.22137685381032635	0.6607008492477908	0.033577387150773366	0.0014590912382321988	1.3825872541842467E-4
13	0.041339106117814974	0.05439140507046435	1.0624914863962985E-4	0.009539058853298867	0.009953408346943395	1.3129075174589732E-7	0.021137669083087247	0.005616285335354705	0.001594677376268701	0.2370149111714626	0.0022263339377097814	0.01569726456014892	0.5799273910815006	0.021427916537156047	2.8192089398472614E-5
14	0.1407080444937928	0.005010407949626516	0.0014935510474777334	7.995229241413285E-4	0.0	0.023465086247369604	0.20289326431025176	0.0	0.022042186601320977	0.016005958126335772	0.0	0.0019073867918721382	0.06783493038430856	0.5178396611235029	0.0
15	0.0023313185596360855	0.0047145529384215725	0.006560493285519722	0.0	1.5029402027684553E-5	0.011694397313172431	0.041026990580012586	0.010404648123759864	0.0013494314637614475	0.0	1.658727866135545E-4	3.886148577399943E-4	7.57743071937539E-8	0.0	0.9213485749150278
