State (Emission order)	-5000	-4500	-4000	-3500	-3000	-2500	-2000	-1500	-1000	-500	0	500	1000	1500	2000	2500	3000	3500	4000	4500	5000
1	0.94930	0.86870	0.82093	0.80899	0.80004	0.76123	0.74929	0.79407	0.76421	0.87467	0.86870	0.92840	1.03587	0.97318	1.02691	1.18513	1.22991	1.25080	1.22095	1.30458	1.31358
2	3.11491	3.09042	3.15654	3.04879	2.92390	2.94105	2.81371	2.51250	2.25047	2.12803	2.11824	2.15497	2.24558	2.29211	2.39006	2.42924	2.50270	2.57862	2.70106	2.69136	2.74288
3	2.86279	2.92229	2.86279	2.86454	2.89254	2.90479	2.87504	2.97128	3.09902	3.17077	3.13227	2.99228	2.84004	2.76130	2.61431	2.58281	2.43582	2.35358	2.30983	2.31691	2.23299
4	2.52019	2.52717	2.56031	2.60217	2.57600	2.55856	2.61437	2.68239	2.70855	2.82541	2.78006	2.87947	2.77657	2.50624	2.36672	2.26207	2.23417	2.18882	2.13824	2.04936	2.00932
5	3.04746	3.10855	3.17297	3.22907	3.29349	3.34336	3.40694	3.41816	3.41276	3.33795	3.24777	3.13889	3.00175	2.84383	2.68383	2.53214	2.39458	2.28113	2.19594	2.11954	2.05395
6	1.67713	1.63011	1.53867	1.52822	1.48381	1.45247	1.40806	1.42112	1.34797	1.35320	1.36103	1.42895	1.43418	1.42373	1.37671	1.29834	1.25654	1.20429	1.17556	1.12335	1.07897
7	0.60581	0.60110	0.58756	0.59168	0.56931	0.54635	0.55165	0.54929	0.56695	0.59462	0.63466	0.66056	0.70177	0.74770	0.80245	0.84248	0.88782	0.91137	0.94139	0.95143	0.97973
8	0.25592	0.25515	0.25327	0.25217	0.25239	0.25261	0.25217	0.25184	0.25305	0.25261	0.25437	0.25404	0.25537	0.25714	0.25780	0.25956	0.26012	0.26254	0.26420	0.26576	0.26819
9	0.85802	0.88060	0.88060	0.83293	0.85300	0.88060	0.83544	0.79279	0.82540	0.83042	0.82039	0.82039	0.83042	0.86554	0.86554	0.89816	0.95837	1.03865	1.08883	1.08134	1.13658
10	0.79140	0.77907	0.77701	0.76003	0.75688	0.74468	0.74085	0.74057	0.74181	0.75427	0.80249	0.82318	0.86291	0.91469	0.96565	1.00702	1.03976	1.06538	1.08497	1.10391	1.11573
11	1.10484	1.10972	1.09949	1.10159	1.08833	1.09043	1.08903	1.09159	1.09624	1.09577	1.08461	1.07810	1.06625	1.05416	1.04276	1.03858	1.03951	1.04114	1.04090	1.05373	1.05702
12	2.07206	2.02197	2.02460	2.14323	2.20123	2.15378	2.23814	2.21705	2.13005	2.06415	1.87698	1.85325	1.83216	1.83743	1.89543	1.89807	1.88225	1.83743	1.84007	1.80586	1.81383
13	1.29948	1.27347	1.20781	1.22763	1.22020	1.23383	1.10375	1.12729	1.16198	1.15083	1.13968	1.22391	1.33169	1.46176	1.53237	1.55343	1.62280	1.66740	1.65873	1.68728	1.73441
14	0.60042	0.53788	0.69215	0.56289	0.54621	0.55872	0.64211	0.59625	0.62961	0.62961	0.55455	0.58374	0.53371	0.72968	0.74635	0.77971	0.81724	0.90063	0.93398	0.88815	0.81312
15	1.13338	1.13338	1.11684	1.10857	1.19957	1.29057	1.33193	1.30711	1.17475	1.03411	0.88520	0.83556	0.91002	0.89347	0.92656	0.90174	0.85211	0.86038	0.86038	0.91005	0.95972
