State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.36902	1.36252	1.35319	1.33119	1.28037	1.22470	1.15455	1.08655	1.03472	1.00773	1.00889	1.00789	1.03139	1.06539	1.10088	1.14271	1.17921	1.21304	1.23637	1.25254	1.26037
2	0.54078	0.51632	0.48401	0.45067	0.41340	0.37069	0.33016	0.29698	0.27693	0.26630	0.25693	0.25710	0.26227	0.26946	0.28036	0.29077	0.30210	0.31583	0.33184	0.34748	0.36159
3	0.83850	0.82126	0.78895	0.75179	0.67909	0.60477	0.52184	0.45183	0.41898	0.39582	0.37697	0.38236	0.39259	0.39905	0.39959	0.41467	0.42975	0.44429	0.45237	0.47176	0.49276
4	0.76747	0.76953	0.76126	0.74471	0.80470	0.80263	0.77988	0.67438	0.57301	0.56060	0.56474	0.52957	0.51095	0.50889	0.56888	0.56888	0.62059	0.70334	0.82332	0.88331	0.93502
5	0.68695	0.65708	0.61948	0.58434	0.53691	0.51020	0.47401	0.46312	0.46347	0.46312	0.47261	0.47366	0.48350	0.49615	0.50142	0.51055	0.52004	0.53656	0.57240	0.60718	0.67816
6	2.01361	1.82255	1.58663	1.34739	1.25103	1.10151	1.05665	0.89383	0.75095	0.71938	0.71440	0.77255	0.77587	0.84565	0.92872	1.11147	1.49360	2.11994	2.85262	3.61852	4.19835
7	2.72705	2.78135	2.87384	2.82293	2.71093	2.44790	2.03977	1.58159	1.19637	1.12255	1.04195	0.92910	0.94692	0.99104	1.04449	1.18195	1.31771	1.45940	1.64268	1.72668	1.78692
8	5.18944	5.79339	6.56733	7.49114	8.66547	9.96060	11.07901	11.30940	10.81507	10.44152	9.77718	9.31863	9.13968	9.20679	9.70560	10.48401	11.28256	11.30493	10.62494	9.96954	9.15981
9	3.19879	3.32516	3.44770	3.55492	3.59066	3.54726	3.41196	3.31367	2.93967	2.21592	1.87638	1.93127	2.13423	2.60141	3.39281	4.34760	5.07900	5.52066	5.61384	5.55257	5.41854
10	6.00342	7.12416	8.73474	11.19567	14.59317	19.24856	25.31076	32.52505	39.74326	44.62985	47.89019	48.93648	47.46306	44.04205	38.50103	31.19661	24.03719	18.28064	14.22481	11.21918	9.16187
