State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9636503392754487	0.02530741251673814	0.002249658820877614	0.0	0.0	0.0	0.006500951238099397	0.002291638148836201	0.0	0.0
2	0.008524247485705483	0.9769827145598726	0.0061509874777713	0.0	0.0016915671082681756	0.0	0.006169905854568618	4.590926977251808E-4	0.0	2.148481608872178E-5
3	0.0068124560763212355	0.0544037781338774	0.9041915673165285	0.01566197670914282	0.0012383026717878254	0.0	0.015923486422693606	0.0015716057679990947	1.5193881033071633E-4	4.4888091318708476E-5
4	6.864696815129884E-6	0.0	0.06501243815480699	0.8838293681429881	0.024452713277307234	0.003949826504970243	0.0052552550202130295	0.0026007618471520755	0.014803410706769106	8.936164897806224E-5
5	0.0	0.010724386215148658	8.526276055746129E-4	0.004462536532380318	0.9592452254524502	0.02151931442258543	0.0031922513905698786	0.0	0.0	3.658381290896242E-6
6	0.0	0.0	0.0	0.0030126635670424244	0.10012200340251964	0.8356779516561733	0.009906829269600735	0.004963566430681497	0.046316985673982264	0.0
7	0.03151102171786933	0.08906088395087428	0.025678850494240256	0.0023313799070163238	0.007121124241652235	0.004843442790835249	0.7535879237095643	0.05571764995823368	0.029849913331953314	2.978098977613114E-4
8	0.030690320855649576	0.01757143130653184	0.0065367617315210645	0.0027813124003327047	3.511333098707268E-7	0.006677801604373501	0.15344055821062597	0.7273946406232191	0.01403681362549252	0.04087000850894389
9	0.0	0.0	3.096900272245516E-4	0.009742007370658952	0.0	0.03733625810485179	0.048312623580108516	0.008349499091904215	0.8754186411984299	0.020531280626822076
10	0.0	0.0014367652496397433	3.3932971939424E-4	3.818899707211363E-5	3.502379265119479E-8	1.430751063893964E-8	0.0011485068792549977	0.07030749765818502	0.06102500811235272	0.8657046540527978
