State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.05349	1.05783	1.06066	1.06443	1.07066	1.06726	1.06990	1.07405	1.06877	1.06575	1.05160	1.04594	1.04217	1.03858	1.03179	1.02670	1.02311	1.01821	1.01670	1.01632	1.00859
2	0.47233	0.47011	0.46924	0.46930	0.46912	0.46918	0.47115	0.47189	0.47985	0.48898	0.49940	0.50181	0.50865	0.51525	0.52395	0.53585	0.54480	0.55541	0.56774	0.57742	0.58668
3	0.60662	0.58345	0.58040	0.58589	0.59138	0.59748	0.60479	0.61942	0.62613	0.64015	0.68039	0.69441	0.71392	0.72733	0.75233	0.77733	0.79074	0.82610	0.83464	0.86024	0.89560
4	1.33253	1.35127	1.30677	1.29975	1.25291	1.21076	1.18031	1.17094	1.16626	1.15689	1.13113	1.11708	1.14987	1.14518	1.09132	1.08195	1.10303	1.10303	1.14987	1.12411	1.10303
5	3.37170	3.39079	3.40631	3.41228	3.40949	3.39915	3.37608	3.35658	3.32039	3.28458	3.25913	3.20622	3.15729	3.12109	3.05824	2.99300	2.93413	2.85258	2.78615	2.70500	2.63538
6	3.04322	3.09400	3.07519	3.15419	3.13162	3.21438	3.32535	3.32535	3.30842	3.20685	3.07707	3.20121	3.19181	3.08272	3.03005	2.91908	2.81375	2.78366	2.66329	2.63131	2.59558
7	1.14308	1.17189	1.19014	1.14692	1.16805	1.14116	1.11138	1.13539	1.12867	1.17958	1.20647	1.23337	1.23721	1.27948	1.32366	1.30829	1.37457	1.40627	1.41588	1.45334	1.47639
8	2.07142	1.96759	1.90682	1.92454	1.90175	2.01571	1.96253	1.83338	1.78527	1.71183	1.60547	1.61307	1.52444	1.45100	1.46113	1.60041	1.62067	1.60801	1.68144	1.68651	1.69917
9	1.78898	1.76297	1.79910	1.78320	1.80922	1.86846	1.89303	1.93638	2.01152	2.00574	2.02597	2.02742	2.00719	2.02019	2.03753	2.03175	1.98840	1.98985	1.95950	1.93349	1.94939
10	3.69988	3.68657	3.57122	3.41595	3.27843	3.05218	3.00338	2.96345	2.80374	2.68396	2.61298	2.65291	2.81262	2.88803	2.89247	2.82593	2.82593	2.77269	2.71502	2.76825	2.75051
