State (Emission order)	-5000	-4500	-4000	-3500	-3000	-2500	-2000	-1500	-1000	-500	0	500	1000	1500	2000	2500	3000	3500	4000	4500	5000
1	3.04436	3.10066	3.17072	3.23777	3.29881	3.36285	3.41915	3.43377	3.41486	3.35210	3.26829	3.14150	3.00095	2.84836	2.68289	2.54019	2.39104	2.28875	2.19935	2.11647	2.04390
2	3.18005	3.03727	2.99833	3.12813	2.82960	3.08919	3.32283	3.21899	2.94641	2.88151	2.98535	2.85556	2.67384	2.47914	2.32338	2.23252	2.05081	1.94697	1.99889	2.07684	2.23268
3	2.61702	2.62863	2.70758	2.65418	2.65650	2.60077	2.62399	2.73777	2.81440	2.89800	2.73080	2.99785	2.85155	2.54736	2.49163	2.28264	2.35230	2.18511	2.17350	2.11784	2.12720
4	2.07940	2.06741	1.94756	2.17527	2.19325	2.31310	2.34906	2.25318	2.34906	2.45692	2.61872	2.67265	2.52883	2.40898	2.26516	2.16329	1.91161	2.14531	1.98951	1.98958	1.80986
5	2.68835	2.86189	2.80709	2.69444	2.81926	2.79491	2.82535	2.93800	3.08414	3.26377	3.28508	3.11154	3.10850	3.04761	2.77664	2.61832	2.47827	2.23775	2.25602	2.23479	2.21050
6	3.97066	3.88216	3.91166	4.02376	3.74646	3.59896	3.46326	3.70516	3.77596	3.72876	3.42197	3.16237	2.94997	2.97947	2.87917	3.15647	3.15647	3.19777	3.16827	3.02087	2.83807
7	1.83865	1.85805	1.85805	1.82702	1.85029	1.86581	1.66022	1.57488	1.57100	1.64470	1.60979	1.57488	1.58264	1.62143	1.71065	1.83090	1.71840	1.83090	1.98606	1.96673	1.99007
8	1.13824	1.08200	1.00969	0.99630	0.96684	0.96148	0.96684	0.97755	0.95077	1.00165	1.03915	1.07129	1.15163	1.13824	1.21591	1.37393	1.41678	1.41410	1.41946	1.43825	1.47580
9	3.94823	3.90897	3.97005	3.96132	3.88715	3.78245	3.61667	3.16295	2.73104	2.43874	2.45183	2.65688	2.75722	2.69614	2.85320	2.84011	3.00589	3.16295	3.12805	3.15869	3.21989
10	1.44977	1.28502	1.14005	1.06097	1.31138	1.35092	1.38387	1.37069	1.42341	1.36410	1.36410	1.20594	1.26525	1.17299	1.12687	1.18617	1.00825	0.98848	0.95553	1.09395	1.17967
11	0.57805	0.52320	0.66665	0.56961	0.57383	0.54429	0.66243	0.58649	0.60336	0.61602	0.50632	0.59914	0.54851	0.67087	0.75526	0.80589	0.83965	0.94513	0.95357	0.91563	0.86080
12	1.25141	1.22221	1.21387	1.20691	1.15964	1.17771	1.05396	1.10402	1.12905	1.09429	1.13044	1.19857	1.30147	1.44885	1.49335	1.53228	1.60876	1.65325	1.65742	1.68807	1.73958
13	2.04961	2.01046	2.02165	2.04681	2.13350	2.10274	2.22577	2.17544	2.13629	2.05241	1.85947	1.88743	1.82871	1.84828	1.86227	1.86506	1.89302	1.82032	1.78677	1.75607	1.80926
14	1.10615	1.10827	1.09740	1.10378	1.09101	1.09149	1.08983	1.09692	1.10094	1.09858	1.08699	1.07777	1.06335	1.05365	1.04325	1.03828	1.03852	1.03946	1.04372	1.05653	1.05420
15	0.79241	0.78118	0.77577	0.76190	0.75982	0.74304	0.74387	0.73888	0.74207	0.75441	0.79796	0.81751	0.86328	0.91348	0.96312	1.00279	1.03662	1.06173	1.08017	1.09851	1.10965
16	0.82244	0.86172	0.84944	0.80525	0.83226	0.86908	0.80280	0.78316	0.77825	0.81998	0.81016	0.80280	0.80771	0.86172	0.86172	0.88136	0.94519	1.03848	1.08758	1.08517	1.11958
17	0.25774	0.25829	0.25609	0.25455	0.25411	0.25422	0.25400	0.25433	0.25510	0.25477	0.25664	0.25642	0.25895	0.25895	0.26093	0.26104	0.26236	0.26467	0.26676	0.26809	0.27074
18	0.60490	0.59625	0.58414	0.58241	0.55646	0.54896	0.54781	0.54781	0.56741	0.59394	0.63661	0.66314	0.69774	0.75252	0.80903	0.84997	0.88745	0.91109	0.93301	0.95034	0.98036
19	1.64163	1.64422	1.57420	1.55345	1.46268	1.45490	1.40044	1.42638	1.36154	1.35635	1.35635	1.43934	1.44972	1.41082	1.36413	1.29411	1.28114	1.21890	1.19556	1.15929	1.07375
20	0.76192	0.74213	0.74213	0.73223	0.84108	0.92024	0.94003	0.82129	0.78171	0.77181	0.63328	0.63328	0.65307	0.59370	0.60360	0.56402	0.61349	0.59370	0.52444	0.49477	0.53437
