State (Emission order)	-5000	-4500	-4000	-3500	-3000	-2500	-2000	-1500	-1000	-500	0	500	1000	1500	2000	2500	3000	3500	4000	4500	5000
1	1.12618	1.06315	1.00582	0.91621	0.82956	0.73503	0.64505	0.55013	0.47306	0.45028	0.45559	0.46281	0.48749	0.53115	0.61164	0.75856	0.91499	1.09229	1.26086	1.41576	1.57104
2	4.46042	4.26549	4.17376	3.91003	3.37081	2.47651	1.47903	1.14653	0.81404	0.60766	0.76818	0.72232	0.82550	1.18093	3.02685	6.12249	8.78244	11.24749	12.46281	12.92142	13.09340
3	1.65340	1.65340	1.52006	1.54878	1.45018	1.38044	1.16917	0.98046	0.87585	0.63381	0.56817	0.57843	0.67073	0.82252	1.35582	1.83580	2.22142	2.35269	2.43474	2.58448	2.71370
4	1.24933	1.21757	1.31286	1.21228	1.25980	1.15394	1.06395	1.10101	0.77282	0.57168	0.56638	0.59814	0.61402	0.70930	0.83634	1.10101	1.14865	1.21746	1.56152	1.69915	1.70973
5	2.54164	2.59006	2.72991	2.92894	3.10079	3.28636	3.49881	3.45309	3.24602	2.62478	2.19987	3.30787	5.90576	8.14597	8.81561	8.51709	7.82056	7.11058	6.39791	5.86273	5.56152
6	4.45628	4.98269	5.25893	5.64983	6.04539	6.33723	6.17568	4.82068	2.78296	1.79798	1.23514	1.75108	4.98745	12.35656	16.55707	17.30753	16.90103	16.15578	15.10305	13.93045	12.13247
7	2.31990	2.57690	2.83048	3.02923	3.36817	4.23505	5.78722	8.22340	12.10211	11.73891	7.29142	6.62326	7.62721	8.51465	7.43533	5.97567	5.04711	4.15967	3.49837	2.92959	2.50814
8	2.06783	2.11515	2.24765	2.23818	2.32788	2.35626	2.42014	2.60467	3.14878	3.45633	2.65908	2.33024	1.98721	1.67257	1.49041	1.40997	1.33427	1.32481	1.31534	1.32244	1.30588
9	2.72478	2.78645	2.94446	3.43777	4.11956	5.12536	7.22175	11.98486	20.67871	33.88133	44.03185	42.31697	32.75991	19.29525	11.11008	7.14467	5.03287	3.83824	2.97117	2.57809	2.26209
10	1.40298	1.37969	1.31566	1.20505	1.26897	1.32136	1.32718	1.15255	0.94300	0.73926	0.84986	1.02449	1.42031	2.04316	2.31092	2.36331	2.62525	2.66600	2.85227	2.96287	2.96287
11	1.29340	1.31576	1.24494	1.26358	1.21128	1.15165	1.25601	1.49454	1.62871	1.20383	0.79758	0.65223	0.81622	0.79386	0.80131	0.77149	0.78640	0.79386	0.79013	0.79758	0.80504
12	2.25276	2.34611	2.42964	2.50825	2.54978	2.80279	2.93053	2.88017	2.06709	0.99608	0.78606	0.73816	0.84379	1.20734	1.48123	1.60774	1.54633	1.50825	1.51685	1.48000	1.53650
13	2.13422	2.19597	2.27502	2.46769	2.55885	2.82561	3.46532	4.46318	5.83152	7.33818	8.02483	7.84452	6.59473	5.03867	3.88027	3.08495	2.69223	2.34891	2.13897	2.05993	1.97595
14	1.33875	1.34439	1.36069	1.35024	1.36620	1.37936	1.36432	1.31190	1.19911	1.06293	1.01718	1.05081	1.15921	1.25905	1.31858	1.33404	1.31524	1.29331	1.27952	1.25717	1.23942
15	1.16825	1.16212	1.14644	1.14032	1.11926	1.05654	0.95573	0.79391	0.57721	0.41711	0.37141	0.38856	0.42740	0.48877	0.56288	0.62535	0.68121	0.71906	0.74699	0.76524	0.77860
16	1.33164	1.29260	1.28609	1.37935	1.39657	1.34236	1.38573	1.34669	1.22959	0.99538	0.83708	0.87611	0.98888	0.99972	0.89563	0.83924	0.77852	0.79804	0.80455	0.82623	0.84141
17	0.22671	0.22331	0.22127	0.21709	0.21367	0.21095	0.20686	0.20317	0.19802	0.19073	0.18684	0.18820	0.19092	0.19364	0.19675	0.20045	0.20239	0.20560	0.20842	0.21133	0.21415
18	0.89299	0.87414	0.85275	0.82065	0.79460	0.77372	0.73144	0.66268	0.52413	0.39170	0.37183	0.37438	0.38813	0.43346	0.46148	0.48542	0.53279	0.54909	0.56743	0.57507	0.59748
19	0.76520	0.70334	0.64836	0.58879	0.51543	0.46274	0.39631	0.34362	0.32071	0.32759	0.32071	0.38715	0.38486	0.40547	0.55438	0.72161	0.84302	1.03316	1.15228	1.33784	1.45238
20	0.75175	0.71678	0.71678	0.66434	0.65553	0.55939	0.63805	0.68176	0.69050	0.81286	0.83034	0.79538	0.69924	0.75168	0.82160	0.97019	0.99641	1.17996	1.17122	1.21492	1.31981
