State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0.9081537428409285	0.005520488067642382	0.04917000197251611	0.0041964205896229045	0.0	8.039695729857772E-4	4.2138358043013805E-5	1.0037868494593061E-5	0.0	3.903523019532033E-7	0.0	0.0033609072324104474	3.8417743383611756E-5	0.0	0.015193325690905994	0.0	0.0	0.0	0.013510159710764602	0.0
2	0.12295859996611712	0.6531468411761752	0.010692134513747476	0.0	0.0	0.17568313014244136	0.01600471967386848	0.0	0.001419415058785509	0.007310146462989156	0.0	0.0	0.0	0.0	6.751323634819501E-4	0.0	0.0	0.0	0.012005643391385221	1.0423725100853257E-4
3	0.2425235313199495	0.0027117280841565004	0.5521646515538841	0.1173947132356896	0.019445659188384614	0.02473617393853352	0.0014593676012554539	0.00197273125882914	0.0	0.011265283915703101	3.0596786185073166E-4	0.014003786986953605	1.1643064527867688E-4	0.0	0.0016632083098594773	0.0	0.0	0.0	0.010236766099671887	0.0
4	0.05163245637398765	0.0	0.2714667681704346	0.48000467437973277	0.1662269597208667	0.0	0.0	0.00844332177035596	0.0	0.011055362491567609	1.1433746525512572E-6	0.00659520186054729	0.0	0.0	0.0	0.0	0.0	0.0	0.0045741118578548415	0.0
5	7.380375093779232E-4	0.0	0.029762535864713446	0.10420719313214961	0.7502496431848128	0.04338563497727186	0.0	0.004426315603623056	0.047902515721745045	0.018778252476090457	0.0	5.498715302157087E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	0.010276060304767335	0.11045890137607196	0.06860234404174609	0.0	0.07694469928383989	0.6531649279263436	0.0076789162147687245	0.0	0.06153672244077054	0.00856259155871817	0.0	0.002653837642690946	0.0	0.0	0.0	0.0	0.0	0.0	1.2674543527181138E-5	1.0832466675552567E-4
7	0.0014377005266448487	0.005191628004089055	0.0015443186775477766	0.0	0.0	0.005584561029615939	0.4996152894214557	0.010488350680001196	0.10020104087753708	3.65736904517821E-4	0.009795264719205126	0.2127252565883586	0.05649398808642155	2.882516833043221E-4	0.07393594797336844	0.001663494729383648	0.016841272463145124	0.0031825726852229286	0.0	6.453249501808978E-4
8	4.1591129964758216E-5	0.0	0.0020061095986111514	0.005084859936576104	0.003702718063677156	0.0	0.006361938952059111	0.734183789415874	0.020601256285115867	0.015034756729966346	0.09172472991424134	0.11110611919496338	0.0011926321090548378	0.0	0.0	0.0	0.0	0.008693022398693875	2.6647627120189636E-4	0.0
9	6.265066775087059E-4	6.99088960140006E-5	0.0	0.0	0.06934951687223619	0.04958522182249756	0.11536116747485067	0.03221954833711656	0.7222168227119203	0.0034153927631989213	8.217144629348136E-4	0.0024375328286905633	0.0	0.0	0.0023712675837659707	0.0	0.0	5.820303098893019E-4	5.656066656996286E-6	9.377131927194138E-4
10	0.0012255586740395365	0.0	0.03043292924448359	0.016553875133866754	0.03765570430844972	0.011840489825290334	0.0025573151403434687	0.03692214898816342	0.005564253139102902	0.729265978276784	0.018268511467067483	6.099917480506678E-4	2.0446634414939156E-4	0.0	7.52357300339024E-5	0.0	0.0011059987309175031	0.0029860279759697365	0.09829202914698022	0.006439486126307435
11	0.0	0.0	4.371677609896184E-4	0.0	0.0	0.0	0.010412501822417448	0.1252621933673603	8.293796566031754E-4	0.011556098682882845	0.5171674348033231	0.06560910879556676	0.0012777313498489025	0.0	0.013705161752615219	0.025961676501135667	0.0	0.21402965127207416	0.013751894235182882	0.0
12	0.008792354555303524	0.0	0.008032495377674842	0.0016593381696719768	1.6064472841745094E-4	5.795685223722193E-4	0.0715556608418087	0.05081464784660539	7.627537496362072E-4	3.773046776038371E-7	0.02114208726357257	0.5527360886021611	0.012744005887682413	0.0	0.24357470410024404	0.0023096157432482543	0.0024031359829126205	0.022472328147564526	2.6019317644671524E-4	0.0
13	2.744916678924183E-4	0.0	6.710208737138862E-5	0.0	0.0	0.0	0.03757655497562747	0.0011602268964253514	0.0	8.496271261027219E-5	8.409644227924556E-4	0.029417054488218845	0.6276452020146984	0.2459820676630779	0.023548262201556248	0.03336971863651081	0.0	0.0	0.0	3.3392233218234155E-5
14	0.0	0.0	0.0	0.0	0.0	0.0	1.9592630816886592E-6	0.0	0.0	0.0	0.0	0.0	0.022163851122076753	0.919645322905275	0.046862545352429445	0.011322339378073556	0.0	0.0	0.0	3.9819790635376086E-6
15	0.004806392121658302	2.1414695137748167E-5	7.272929962712109E-5	0.0	0.0	4.464174794584993E-6	0.002774208392471378	0.0	8.11755099480356E-5	0.0	4.549242074758474E-4	0.027539560522515858	0.0014544467798998694	0.028181857867398446	0.9147873171144241	0.006957880677586234	0.002984808228861379	0.009743742879182732	1.3507752901821397E-4	0.0
16	0.0	0.0	0.0	0.0	0.0	0.0	0.0010171532620063448	0.0	0.0	0.0	0.015618584710249347	0.0	0.027512906955676594	0.10283028365327443	0.1052599764600901	0.7262586782999862	0.0	0.021353228300144828	0.0	1.4918835857222424E-4
17	0.0	0.0	0.0	0.0	0.0	0.0	4.809939185065071E-4	0.0	0.0	2.017514069344534E-5	0.0	1.9934013201889064E-4	0.0	0.0	0.002304785644086474	0.0	0.9918931956298244	0.005000374195518102	0.0	1.0113533935209598E-4
18	0.0014566768294769735	0.0	0.0	0.0	0.0	0.0	4.325740799897261E-4	0.0019061065097765399	1.3578579629098817E-4	3.4566894812187315E-4	0.03016344041479988	0.009319828004568405	0.0	0.0	0.03729498445138174	0.006317046486124512	0.024904968282427182	0.8735565615228654	0.011091464270254758	0.00307489440392208
19	0.07210166483166745	0.003485920337768629	0.012901563799169982	0.002533587996852843	0.0	0.0	0.0	0.0	6.053363383929775E-5	0.037809513890662796	0.00913312677066636	4.968071615848387E-4	0.0	0.0	0.002816287410606732	0.0	0.0	0.05330442155608863	0.804740557260244	6.16015350848278E-4
20	0.0	3.104919181665035E-4	0.0	0.0	0.0	2.2448292230449802E-4	0.0019147737195863595	9.800058175545331E-5	6.22491455730519E-4	0.009200696535731955	0.0	0.0	0.0	7.758444262447281E-5	0.0	9.553906006310503E-4	0.009369138125589946	0.05387863620661461	0.002771966720197628	0.9205763467710669
