State (Emission order)	H3K27me3	H3K4me1	H3K4me3	H3K27ac	H3K36me3	H3K9me3
1	0.04085365305195563	0.1040386189998638	0.2496246674980031	0.015124290013766565	0.6493817175782919	0.9203743991915023
2	0.05906782259087007	0.015023818359871334	0.023533583379119916	0.0011742973933453562	0.029572056168133482	0.5625828084923125
3	0.0266632792277685	0.0022653125861582814	0.001682213235576122	1.8186176257677377E-4	0.004468811211299406	0.020304271488974266
4	0.6054495437323223	0.011837327559446097	0.002406934658852831	2.2913993829808585E-4	0.013870252574284467	0.037188965876669866
5	0.7550386350427027	0.8286825736327067	0.3971028700690861	0.04245747351371113	0.05142382313496527	0.17617504547388083
6	0.046038566659038785	0.7724285206922011	0.2191715649121904	0.07185074715527413	0.07064325235381623	0.12168665760990897
7	0.09818471494701242	0.9686653947854168	0.7817096976226269	0.6356707128185545	0.5089495620709925	0.9358232012644242
8	0.03145473067044133	0.8513483417997708	0.9609751975116874	0.9441579973722362	0.10443188307424173	0.15276489829765935
9	0.008316101789449842	0.9524177366294111	0.6134681750595001	0.5684345662787713	0.9189292184386325	0.1301448554458137
10	0.006189236197297651	0.059176047904496175	0.008673873931284187	0.01549292508511198	0.8088847326432933	0.02578277051907269
