State (Emission order)	-5000	-4500	-4000	-3500	-3000	-2500	-2000	-1500	-1000	-500	0	500	1000	1500	2000	2500	3000	3500	4000	4500	5000
1	1.40012	1.38583	1.35113	1.31440	1.28378	1.27358	1.25725	1.24092	1.18173	1.17357	1.15316	1.21235	1.16132	1.15112	1.17153	1.08581	1.06744	1.02253	1.02662	1.01032	0.96137
2	0.61289	0.61235	0.58159	0.57830	0.56731	0.55413	0.55743	0.55468	0.56566	0.59642	0.63157	0.65903	0.70461	0.74415	0.79303	0.84081	0.89024	0.92319	0.95779	0.98143	0.99520
3	0.46195	0.45654	0.45407	0.44792	0.44258	0.43517	0.43183	0.43196	0.43417	0.44278	0.46348	0.47463	0.49280	0.51684	0.53767	0.55617	0.57219	0.58848	0.59817	0.60961	0.61584
4	1.02651	1.02736	1.02463	1.02344	1.02021	1.02276	1.02089	1.02174	1.02497	1.01918	1.01424	1.00454	1.00215	0.99670	0.99687	1.00011	1.00641	1.00556	1.01067	1.01513	1.02198
5	1.97489	1.96574	1.96116	2.04126	2.08702	2.10304	2.13279	2.07787	2.01380	1.97718	1.78496	1.80097	1.76207	1.81699	1.79182	1.82157	1.82157	1.79182	1.78038	1.73467	1.74846
6	1.23923	1.20155	1.17852	1.18062	1.16073	1.15655	1.09270	1.09898	1.11259	1.07909	1.09689	1.15968	1.25598	1.40146	1.46740	1.51136	1.59090	1.60870	1.60451	1.59829	1.67056
7	1.04485	0.97713	0.98035	0.98358	1.09967	1.03840	1.00615	1.06742	1.13837	1.12225	1.01583	0.98035	1.08677	1.04807	1.04162	1.10612	1.06420	1.07710	1.02550	1.05134	1.12555
8	2.40673	2.38085	2.38085	2.24232	2.16773	2.16925	2.07791	1.92873	1.73388	1.70039	1.71713	1.78868	1.84805	1.85566	1.97440	2.04442	2.05356	2.13880	2.22710	2.29568	2.27140
9	2.94125	2.94858	2.92046	2.99014	3.00359	2.98525	3.04638	3.11606	3.20285	3.32754	3.22852	3.17351	3.03904	2.87768	2.69553	2.63808	2.53661	2.46815	2.41559	2.33621	2.28005
10	2.97776	3.03675	3.10179	3.14678	3.19783	3.25644	3.30598	3.32337	3.32602	3.26022	3.19783	3.10443	2.97095	2.81252	2.66467	2.50775	2.37767	2.26990	2.18293	2.10927	2.04468
