State (Emission order)	-5000	-4500	-4000	-3500	-3000	-2500	-2000	-1500	-1000	-500	0	500	1000	1500	2000	2500	3000	3500	4000	4500	5000
1	0.79152	0.73743	0.69416	0.60581	0.56069	0.49398	0.43809	0.41646	0.37680	0.36057	0.34254	0.38581	0.40023	0.43989	0.62559	0.79866	0.94289	1.11055	1.22053	1.39180	1.53963
2	0.93586	0.91985	0.89414	0.88492	0.85962	0.85234	0.80383	0.74270	0.58407	0.43854	0.40022	0.39828	0.40604	0.43126	0.45067	0.48074	0.51470	0.54526	0.57000	0.59474	0.60784
3	0.59590	0.59207	0.58641	0.57992	0.56713	0.53480	0.48779	0.41701	0.32812	0.26814	0.24832	0.25634	0.27221	0.29686	0.32636	0.35219	0.37360	0.39130	0.40321	0.41395	0.42486
4	1.29711	1.29606	1.30057	1.29064	1.29759	1.30256	1.28014	1.21349	1.08742	0.93713	0.88658	0.91351	1.01235	1.10367	1.15873	1.17799	1.18009	1.17002	1.16430	1.14986	1.13541
5	2.01754	2.09031	2.15703	2.34908	2.48834	2.71878	3.38180	4.27727	5.81353	7.34373	7.72577	7.50544	6.34112	4.88773	3.81437	3.09678	2.72484	2.39738	2.13864	2.01533	1.91022
6	2.22831	2.30783	2.38457	2.50107	2.66448	2.96588	3.30888	3.71382	3.53261	1.94520	1.15658	1.11220	1.68449	2.25307	2.42503	2.33073	2.14767	1.98773	1.93226	1.79081	1.74088
7	1.47854	1.49279	1.52413	1.50703	1.55532	1.54677	1.72339	1.81454	2.06522	1.95412	1.47556	1.54962	1.91994	2.18486	2.19055	2.14213	2.25322	2.16776	2.22758	2.18770	2.22474
8	2.52147	2.60754	2.79581	3.00963	3.32938	3.91700	4.98735	7.04065	10.72234	15.88719	18.23632	17.42145	14.22788	10.15355	7.00569	5.19578	4.02592	3.30384	2.76732	2.48359	2.22407
9	2.51623	2.65878	2.74733	2.83481	2.89718	2.84103	2.66177	2.29355	1.82491	1.40486	1.23208	1.66725	2.91985	4.84627	6.28136	6.80507	6.89038	6.83423	6.57183	6.21981	5.86994
10	1.19653	1.13373	1.06492	0.99443	0.89080	0.80563	0.70075	0.59454	0.50703	0.46427	0.46628	0.46594	0.49667	0.54944	0.66501	0.86909	1.07183	1.26055	1.43858	1.61660	1.75421
