State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.8983028839120382	0.06085968479876258	0.004383941582717337	4.96847753621915E-4	0.035956641952860115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0.027071388393355458	0.860866538261891	0.022513963817222007	0.002039848148801122	0.02541162296354119	0.06205432036990636	6.273922302448472E-6	0.0	3.6044122980260594E-5	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0034713861236024975	0.046682963766271415	0.8622706705112863	0.01379210996069334	0.0	0.013991435973153886	0.0	0.051814566621010395	0.0	0.0	0.007401849483666022	0.0	5.750175603161782E-4	0.0	0.0
4	7.983916135848799E-4	0.00546483427716611	0.018518535174856795	0.879120700875345	0.0370163940213768	0.0	0.0028631675154235196	0.04005850071565522	0.01016726774740497	0.004605589780448749	0.0013866182787380613	0.0	0.0	0.0	0.0
5	0.022949803498185206	0.037321547761334804	0.0	0.019824717780144906	0.8255397496585563	0.0	0.07059169664070321	2.579682386363257E-8	0.0010838021070048343	0.0	0.00206189983373147	0.001680700451382124	0.006562750108273056	0.0	0.012383306363860359
6	0.0	0.05030846194577598	0.005495922605102129	0.0	0.0	0.8234566327310258	0.0930397708526299	0.008683176265299302	0.0021904397530556757	0.0	0.006513623426898413	0.008585254874946595	0.0	0.0	0.0017267175452661276
7	0.0	5.678271733800024E-8	0.0	3.465593002353457E-4	0.01685847814760365	0.039335803141894464	0.8552563140508666	0.0025337184364537402	0.01072427202475604	0.0	4.945399136557578E-4	0.012953814564176045	0.04573451445444983	0.010421039644612889	0.005340889538578358
8	0.0	0.0	0.023813435287733133	0.013632452959284384	0.0	0.010774419892387714	0.007012485938757575	0.8592643298927966	0.04863284459033104	0.03515478152719456	0.0017152499115151295	0.0	0.0	0.0	0.0
9	0.0	2.441739418930568E-6	0.0	6.725697472649665E-4	1.4789714497393593E-4	5.693470093214706E-4	0.0063519122584082405	0.010144811796577212	0.9311616027563814	0.044950049535392264	0.003074721222058346	7.793688378660995E-4	0.0021452779523371615	0.0	0.0
10	0.0	0.0	0.0	4.362366337013837E-4	0.0	0.0	0.0	0.009776179539945857	0.06096950000492206	0.9268595673860988	0.0019306919160612989	0.0	0.0	2.7824519270532043E-5	0.0
11	0.0	0.0	0.0034198837362875434	4.4905644599544726E-4	0.0013053118021188726	0.007994923761747532	9.177010202144099E-4	0.001913016790827948	0.014225388411887696	0.006268890679974501	0.9053841711102139	0.057906361830740036	0.0	0.0	2.152944099921919E-4
12	0.0	0.0	0.0	0.0	2.1445714017104958E-4	0.0022592138840140524	0.0077942800807244824	0.0	8.50820888360934E-4	0.0	0.012744457211853744	0.9400186320337465	0.03192356204705315	0.0038929160375102494	3.0166067656581296E-4
13	0.0	0.0	6.601275508428669E-6	0.0	1.129557901172244E-4	0.0	0.0030730809384311073	0.0	2.5425179289421056E-4	0.0	0.0	0.0035668616974032473	0.9867215340974731	0.006264714408172649	0.0
14	0.0	0.0	0.0	0.0	0.0	0.0	0.0022869494823909335	0.0	0.0	4.601413067384631E-6	0.0	0.0013353015333719	0.019999182954538702	0.9720503793429024	0.004323585273728781
15	0.0	0.0	0.0	0.0	0.01568208798392162	0.004445261657996769	0.02727308138969771	0.0	0.0	0.0	5.580098942409592E-4	0.0031568189152903596	0.0	0.10835949076821366	0.840525249390639
