State (Emission order)	-1000	-900	-800	-700	-600	-500	-400	-300	-200	-100	0	100	200	300	400	500	600	700	800	900	1000
1	16.48330	18.96140	22.09547	25.76777	29.66993	34.37945	39.01608	43.89939	48.46874	53.10537	58.93059	63.79148	64.99689	64.06620	62.03663	58.67829	54.42852	49.33776	43.73680	38.04053	32.59095
2	7.82915	8.42899	8.86260	9.32030	9.87437	10.14176	9.90809	8.72288	6.59576	4.38914	3.33883	3.38460	3.66645	4.00612	4.42769	5.16242	6.01279	6.91856	7.78820	8.27481	8.62170
3	2.05004	2.03470	2.00403	1.95802	1.92734	1.86088	1.73308	1.70240	1.52858	1.41100	1.40589	1.53881	1.49791	1.61549	1.65639	1.67684	1.76886	2.05004	2.32099	2.79644	3.23610
4	2.20613	1.96725	1.95320	1.91104	1.88996	1.89699	1.86186	1.75647	1.71432	1.60190	1.63000	1.71432	1.81268	1.81970	1.95320	2.03751	2.08669	2.15695	2.51527	3.00708	3.60428
5	11.78867	12.27313	12.79708	13.04828	12.96933	12.56381	12.34491	12.46692	13.25283	14.21100	13.06263	10.18814	8.79575	8.36152	8.26822	8.50148	9.09719	10.01588	11.24320	12.71813	14.05310
6	2.39070	2.33726	2.23039	2.09978	1.85042	1.48429	1.20524	1.01525	0.95390	0.91432	0.82131	0.76787	0.74610	0.68673	0.67684	0.66694	0.68277	0.69663	0.70059	0.75402	0.79756
7	2.61975	2.37774	2.08244	1.80249	1.50810	1.28053	1.11617	1.06470	1.12340	1.13152	0.97620	0.80823	0.76579	0.76037	0.78114	0.81004	0.84345	0.89402	0.93556	0.96807	1.04754
8	0.85678	0.80891	0.75147	0.71557	0.63181	0.61027	0.54326	0.53369	0.53369	0.55523	0.58634	0.59591	0.63421	0.60309	0.62224	0.63899	0.68925	0.65574	0.66532	0.68207	0.72275
9	0.52533	0.49880	0.47468	0.46262	0.45008	0.42885	0.42065	0.40956	0.39750	0.37723	0.36132	0.36180	0.36132	0.37386	0.38447	0.39557	0.41052	0.42547	0.43126	0.44766	0.45056
10	0.52406	0.52139	0.51673	0.49143	0.49143	0.49276	0.49942	0.51074	0.53072	0.56002	0.57799	0.57999	0.58465	0.58332	0.57666	0.57000	0.55935	0.56534	0.56601	0.56401	0.57200
11	0.87327	0.87092	0.83571	0.78876	0.71129	0.60800	0.55870	0.53758	0.53288	0.53053	0.55636	0.56340	0.57044	0.54462	0.52819	0.52819	0.52584	0.53523	0.53758	0.55401	0.55870
12	0.59743	0.56578	0.52136	0.48361	0.45418	0.43530	0.41865	0.41531	0.40976	0.40421	0.38977	0.38422	0.37922	0.38089	0.37922	0.37867	0.38033	0.38311	0.38144	0.39144	0.39921
13	0.35231	0.33605	0.32072	0.30639	0.29417	0.28459	0.27607	0.26833	0.26307	0.25715	0.25461	0.25322	0.25416	0.25632	0.25959	0.26351	0.26916	0.27270	0.27779	0.28205	0.28869
14	1.23697	1.19725	1.16300	1.12055	1.08975	1.05714	1.03837	1.02799	1.02507	1.03509	1.02999	1.02999	1.03090	1.04202	1.05495	1.06916	1.08101	1.09923	1.12437	1.14642	1.16774
15	8.25099	9.01680	9.73320	10.39526	10.85969	11.31423	11.44763	11.36364	11.23024	10.85475	10.92886	11.49210	11.83795	12.10969	12.24803	12.33696	12.15909	11.90712	11.40811	10.99309	10.43479
