State (Emission order)	H3K27ac	H3K4me3	H3K4me1	H3K36me3	H3K9me3	H3K27me3
1	0.9253220974132468	0.9883218862811971	0.13178392149771267	0.05233473922030818	0.06631638626267095	0.01162573986056309
2	0.92177258019733	0.9485945519293422	0.966256406432166	0.0970537438387813	0.13834671187681152	0.016185759244770254
3	0.8257608149253624	0.839993327900327	0.9714758210458987	0.8325095499249666	0.2628276442394707	0.07018939406586883
4	0.14793027479838933	0.9084559027042091	0.6429949452476198	0.7100839045937255	0.09520159664791668	0.0074062725969716095
5	0.1175836613071949	0.9220557194143023	0.5951346138373357	0.04208723511217863	0.06822192396961278	0.04709100458701649
6	0.22703795552547756	0.3047543392667985	0.8994770502379881	0.06862867205913212	0.16712430641329454	0.030419842650394192
7	0.018302737403801103	0.05077497191393711	0.29875945078387806	0.03438710243033456	0.04476495425934824	0.04041402334016489
8	0.15644139711528965	0.11880008282582923	0.5992452249016664	0.6912476788049732	0.07459999517864223	0.01044127178513117
9	0.007389109774116923	0.011432262612770302	0.0184951670014446	0.1786891179931026	0.02441720921883888	0.005209466316715813
10	0.013957960513565276	0.019062864547575283	0.03194350201968808	0.834421823051984	0.03137085560589932	0.00796489093045707
11	0.023074916805161143	0.2548390995847509	0.1063488356633446	0.38669674797467196	0.8034272329585637	0.05384144560056947
12	0.00276127327651521	0.026588783145992903	0.01311576508432835	0.024070170704172614	0.2719409602672411	0.0323506215579923
13	8.776405688085932E-4	0.005998052133117303	0.003870430838694585	0.004406808589450134	0.016544362516730436	0.017063397840078633
14	0.0013723610016382322	0.008686204672262885	0.014443012917510616	0.01807617219604309	0.02703388831832088	0.3340653008322195
15	0.016978161486187613	0.37543184690928955	0.584172625935736	0.04341469244377182	0.12217865614562433	0.6921496390257603
