State (Emission order)	-1000	-900	-800	-700	-600	-500	-400	-300	-200	-100	0	100	200	300	400	500	600	700	800	900	1000
1	3.48458	3.42746	3.35129	3.28782	3.17992	3.16088	2.99585	2.86256	2.68484	2.60867	2.54520	2.53886	2.65310	2.68484	2.76735	2.84352	2.88795	2.84987	2.92603	2.91968	2.85621
2	1.54631	1.46995	1.49995	1.53813	1.57631	1.59812	1.66358	1.70721	1.70448	1.69357	1.66630	1.72903	1.68812	1.72903	1.75903	1.78903	1.73176	1.74539	1.73448	1.79993	1.80539
3	3.44363	3.54780	3.55359	3.61147	3.56517	3.47257	3.48414	3.40890	3.31051	3.14846	3.16003	3.33366	3.46099	3.39154	3.33945	3.29894	3.35681	3.36260	3.31630	3.24685	3.17161
4	4.41444	4.52579	4.66896	4.75646	4.83599	4.90758	4.79622	4.74850	4.68487	4.41444	4.31103	4.39853	4.31103	4.21559	3.93720	3.92129	3.93720	3.73040	3.64290	3.52359	3.37247
5	1.82007	1.83632	1.84039	1.85664	1.83226	1.76726	1.74695	1.74288	1.86882	1.89320	1.88101	1.84851	1.85664	1.81195	1.70632	1.58850	1.63725	1.71038	1.71444	1.68601	1.68601
6	0.97684	0.99029	1.00149	0.97909	1.01045	1.04182	1.09783	1.08663	1.08887	1.11351	1.12920	1.07991	1.04854	1.06870	1.07991	1.09335	1.21209	1.19193	1.20537	1.25018	1.32860
7	1.06425	1.06323	1.04278	1.01109	1.00598	1.00598	0.99985	1.02336	1.07754	1.11026	1.15013	1.15729	1.17671	1.18182	1.21249	1.22680	1.24214	1.27792	1.29837	1.29121	1.29019
8	2.77979	2.78521	2.79334	2.81502	2.89359	2.90171	2.91797	2.82856	2.75270	2.63349	2.63620	2.72561	2.86107	2.85295	2.92068	2.86649	2.73103	2.68497	2.71748	2.65516	2.61723
9	2.19485	2.18775	2.20249	2.21778	2.23417	2.25601	2.29806	2.39964	2.47883	2.56839	2.60007	2.49412	2.36906	2.32591	2.29424	2.30844	2.32428	2.34721	2.34448	2.38544	2.39036
10	4.30373	4.29996	4.25775	4.21930	4.16729	4.11527	4.04290	3.89892	3.77981	3.67728	3.60491	3.67502	3.76548	3.79790	3.80091	3.76775	3.72176	3.65768	3.61245	3.52274	3.46545
11	1.34739	1.33942	1.33145	1.31019	1.32613	1.34473	1.29158	1.27032	1.23046	1.19857	1.20654	1.18528	1.19059	1.18528	1.21451	1.19059	1.13744	1.12947	1.10821	1.10289	1.15870
12	0.57577	0.58080	0.58897	0.59903	0.59840	0.61160	0.62354	0.63172	0.64052	0.64932	0.65497	0.66880	0.68263	0.69772	0.70086	0.69457	0.71783	0.72035	0.72035	0.72663	0.72349
13	0.43211	0.43292	0.43430	0.43624	0.43681	0.43831	0.44219	0.44658	0.45027	0.45691	0.46223	0.46455	0.46393	0.46480	0.46712	0.47025	0.47169	0.47639	0.47821	0.48096	0.48685
14	1.08003	1.08085	1.07817	1.08065	1.08044	1.07694	1.07116	1.06807	1.06415	1.05198	1.04434	1.03878	1.04187	1.04290	1.03857	1.03919	1.03362	1.02599	1.02702	1.03094	1.02661
15	2.66802	2.61209	2.62887	2.49463	2.46666	2.43869	2.32683	2.24293	2.08072	2.05835	1.86258	1.88495	1.93529	1.92970	1.97445	1.96885	1.91851	1.93529	1.99682	1.96326	1.95207
