State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.99691	0.97981	0.99007	1.00546	1.00375	0.96100	0.95587	0.97126	0.97810	1.02427	1.06018	1.09780	1.14055	1.19869	1.17475	1.17817	1.29273	1.33035	1.35771	1.41927	1.41756
2	1.21835	1.19883	1.22671	1.16817	1.27690	1.28247	1.27132	1.30756	1.30199	1.27132	1.27411	1.24065	1.29920	1.32150	1.45812	1.48878	1.36332	1.39678	1.37448	1.41072	1.46648
3	2.85049	2.86892	2.83206	2.89964	2.73377	2.79520	2.74606	2.57404	2.45118	2.34674	2.12558	2.11944	2.11330	2.04572	1.99043	1.96586	2.02729	2.08258	2.17473	2.14401	2.13787
4	1.26116	1.27486	1.28373	1.28897	1.30065	1.29582	1.29219	1.28977	1.27648	1.23538	1.20758	1.20596	1.20878	1.20798	1.19992	1.19267	1.18219	1.16648	1.16769	1.16607	1.16406
5	0.75502	0.75150	0.74631	0.74356	0.73622	0.73118	0.73194	0.73515	0.74585	0.76419	0.78237	0.78084	0.77840	0.78115	0.77870	0.78298	0.79246	0.80071	0.80560	0.80621	0.81370
6	0.79596	0.78674	0.78059	0.77752	0.82669	0.84820	0.88200	0.86664	0.84205	0.82669	0.73449	0.76215	0.77137	0.74371	0.74986	0.82976	0.84513	0.86357	0.86971	0.91888	0.92503
7	0.29020	0.28831	0.28853	0.28853	0.28953	0.29232	0.29265	0.29443	0.29454	0.29655	0.29967	0.30100	0.30234	0.30412	0.30702	0.30846	0.31136	0.31537	0.31804	0.32060	0.32350
8	0.49748	0.49463	0.49663	0.49862	0.49406	0.48835	0.48892	0.48807	0.49606	0.50946	0.53200	0.53998	0.55425	0.56566	0.57650	0.59105	0.59875	0.61986	0.63954	0.65637	0.66378
9	0.71422	0.70699	0.70410	0.67952	0.70266	0.74458	0.77350	0.80242	0.80386	0.80820	0.82844	0.83133	0.85013	0.87181	0.90651	0.91374	0.92242	0.94410	0.95567	1.00772	1.05254
10	0.81541	0.90602	0.94865	0.95931	0.94332	0.88470	0.84206	0.82074	0.83673	0.81008	0.76745	0.77278	0.75146	0.75679	0.75679	0.81541	0.89003	0.90069	0.93266	0.86871	0.86338
11	1.66829	1.63514	1.66092	1.64251	1.58727	1.49151	1.48415	1.50624	1.53202	1.52834	1.43996	1.54307	1.52834	1.52834	1.49888	1.45469	1.46942	1.50256	1.52098	1.47310	1.45100
12	1.93278	1.94922	1.97071	1.98714	1.99852	2.00041	2.05414	2.08574	2.12429	2.20835	2.24880	2.20899	2.22795	2.25765	2.32149	2.38280	2.42262	2.44474	2.48645	2.51047	2.51489
13	4.16738	4.16351	4.17382	4.16738	4.16287	4.15836	4.06754	4.01215	3.92970	3.83759	3.77189	3.70684	3.64501	3.57415	3.47303	3.36997	3.26949	3.15806	3.05436	2.93262	2.84116
14	2.61362	2.66903	2.61121	2.66180	2.71721	2.73407	2.81356	2.82801	2.82079	2.77020	2.72925	2.89546	2.86896	2.81838	2.87137	2.73166	2.67385	2.58713	2.46186	2.45946	2.36551
15	3.76508	3.90914	3.81746	3.94188	3.91568	4.03355	4.05319	4.04010	4.16451	3.99426	3.67341	3.66031	3.56209	3.49007	3.17576	3.12338	2.94659	2.94004	2.94659	2.97933	3.14957
16	2.90968	2.89010	3.02325	2.92534	2.97625	3.14073	3.28563	3.34828	3.39919	3.32479	3.28171	3.34828	3.39136	3.23863	3.19164	3.10940	2.99583	2.89793	2.77261	2.68254	2.66296
17	1.49890	1.47217	1.45435	1.40758	1.39422	1.34967	1.38086	1.44322	1.46772	1.48776	1.55235	1.58576	1.54567	1.58798	1.65034	1.65703	1.73498	1.70602	1.72830	1.70825	1.76170
18	1.51608	1.46008	1.34007	1.37207	1.41208	1.56009	1.58809	1.56009	1.54808	1.57209	1.54808	1.49208	1.35607	1.33607	1.39608	1.50408	1.52008	1.58809	1.59609	1.66009	1.58009
19	1.76924	1.64057	1.66202	1.64057	1.51190	1.62985	1.44756	1.22239	1.36178	1.50118	1.72635	1.74780	1.64057	1.45829	1.39395	1.54407	1.61913	1.50118	1.44756	1.41540	1.50118
20	4.18692	4.24589	4.03949	4.06898	3.81835	3.54561	3.33922	3.16967	2.91905	2.72739	2.55048	2.56523	2.83796	3.03699	2.92642	2.87482	2.70528	2.75688	2.74951	2.84534	2.85271
